  Frame_#         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.222        3.605            0      295.629      238.104      175.307
      127        0.294        3.600            0      294.830      276.421      174.937
      128        0.184        3.615            0      295.659      204.102      169.284
      129        0.250        3.613            0      295.112      176.692      172.554
      130        0.216        3.631            0      297.578      221.272      174.117
      131        0.383        3.670            0      299.578      216.055      172.846
      132        0.270        3.641            0      296.579      244.770      175.110
      133        0.220        3.612            0      295.160      226.382      172.560
      134        0.255        3.620            0      296.099      237.142      174.891
      135        0.285        3.605            0      296.294      267.270      174.329
      136        0.332        3.649            0      296.909      295.005      173.513
      137        0.184        3.649            0      296.929      267.239      171.659
      138        0.224        3.644            0      297.878      248.742      174.138
      139        0.142        3.618            0      296.108      234.902      175.021
      140        0.184        3.609            0      296.751      255.157      174.010
      141        0.180        3.619            0      296.667      247.915      171.554
      142        0.325        3.669            0      298.574      234.547      173.439
      143        0.187        3.632            0      297.451      271.356      171.983
      144        0.276        3.637            0      297.234      264.093      176.219
      145        0.269        3.608            0      297.015      272.920      174.358
      146        0.271        3.690            0      301.181      275.820      176.061
      147        0.211        3.614            0      297.484      258.559      172.727
      148        0.178        3.584            0      294.456      222.920      173.225
      149        0.134        3.585            0      294.705      254.216      170.932
      150        0.209        3.584            0      294.650      246.503      170.040
      151        0.257        3.645            0      296.987      263.017      173.939
      152        0.147        3.579            0      293.849      251.269      170.808
      153        0.148        3.592            0      295.448      247.189      172.250
      154        0.236        3.600            0      295.631      237.830      172.031
      155        0.257        3.631            0      295.703      218.752      173.231
      156        0.226        3.611            0      295.869      249.001      174.162
      157        0.249        3.631            0      296.312      230.784      172.876
      158        0.271        3.649            0      298.100      243.700      174.085
      159        0.239        3.605            0      295.541      225.104      172.123
      160        0.247        3.640            0      298.505      233.266      175.824
      161        0.380        3.663            0      299.138      247.886      177.007
      162        0.267        3.641            0      296.417      224.508      176.066
      163        0.145        3.621            0      297.188      239.490      171.904
      164        0.263        3.652            0      297.724      252.438      174.637
