NatID,SMILES
80,CC(C)(O)[C@H](O)Cc1cc2c(c3oc(=O)ccc13)OCO2
81,CC(C)C(=O)Cc1cc2c(c3oc(=O)ccc13)OCO2
82,CC(C)=CCOc1c2c(cc3oc(=O)ccc13)OCO2
83,COC(C)(C)[C@H](O)COc1c2c(cc3oc(=O)ccc13)OCO2
84,C=C(C)[C@H](O)COc1c2c(cc3oc(=O)ccc13)OCO2
85,O=c1ccc2c(O)c3c(cc2o1)OCO3
88,COc1c2c(c3oc(=O)ccc3c1O)O[C@@H](C(C)(C)O)CO2
89,CC(C)=CCOc1cc2oc(=O)ccc2cc1O
90,COc1cc2ccc(=O)oc2cc1OCC=C(C)C
91,COc1cc2ccc(=O)oc2cc1OC[C@H](O)C(C)(C)O
92,O=c1ccc2cc3c(cc2o1)OCO3
93,COc1c2c(cc3oc(=O)ccc13)OCO2
95,COc1cc2ccc(=O)oc2c2c1OC(C)C2(C)C
96,C=C(C)[C@@H](O)COc1cc2ccc(=O)oc2cc1OC
97,COc1cc2ccc(=O)oc2cc1OCC(O)C(C)C
98,COc1cc2ccc(=O)oc2cc1OCCO
99,O=c1ccc2c(OCCO)c3c(cc2o1)OCO3
100,CC(C)=CCc1c2c(c(O)c3ccc(=O)oc13)OCO2
101,C=C(C)[C@H]1Cc2cc(O)c(C(C)=O)cc2O1
102,C=CC(C)(C)c1cc(C2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)c(O)cc1O
103,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccccc1)O2
104,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O
106,Cc1c(O)c(C)c2c(c1O)C(=O)C[C@@H](c1ccccc1)O2
107,COc1c(C)c(O)cc2c1C(=O)C[C@@H](c1ccccc1)O2
110,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O
111,CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@@H]3C2)O[C@H](C)[C@H]1O
112,CO[C@@H]1C[C@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)[C@@H](OC(C)=O)C[C@]5(O)[C@@H]4CC[C@@H]3C2)O[C@H](C)[C@@H]1O
115,CO[C@@H]1C[C@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)[C@@H](OC(C)=O)C[C@]5(O)[C@@H]4CC[C@@H]3C2)O[C@H](C)[C@@H]1O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
121,CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@@H]3C2)O[C@H](C)[C@H]1O[C@H]1C[C@H](OC)[C@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1
122,C=C1C(=O)O[C@@H]2C[C@H](C)C([C@@H](CC(C)=O)OC(C)=O)=CC[C@H]12
124,C=C(C(=O)O)[C@H]1CC=C(CCC(C)=O)[C@@H](C)CC1
125,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1
126,O=C1Nc2cc3ccccc3c3c4c(cc1c23)OCO4
127,COc1ccc2cc3c4c(cc5c(c4c2c1)OCO5)C(=O)N3
128,COc1cc(OC)c2cc3c4c(cc5c(c4c2c1)OCO5)C(=O)N3
129,O=C1Nc2cc3c(O)cccc3c3c4c(cc1c23)OCO4
130,O=C1Nc2cc3ccc(O)cc3c3c4c(cc1c23)OCO4
131,COc1c(O)cc2c3c(cc4ccccc4c13)NC2=O
132,COc1ccc2cc3c4c(cc(O)c(OC)c4c2c1)C(=O)N3
133,COc1c(O)cc2c3c(cc4c(O)cccc4c13)NC2=O
134,COc1c(O)cc2c3c(cc4ccc(O)cc4c13)NC2=O
