smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
C=C(C(=O)OC)[C@@H]1C[C@H]2N(CC[C@@]23C(=O)Nc2ccccc23)C[C@@H]1CC,354.4500000000001,2.7261000000000006,4,1,4.0,0.6697692192280349,4,58.64,0.32538522481918336,0.9872685432434082,0.596166580915451,0.038611040078103544,0.15699188858270646,0.11317163668572902,0.07589623741805554,0.35101246237754824,0.4969061970710754,0.8523117423057556,0.5046885251998902,0.030142822302877903,0.7141883134841919,0.2200779139995575,0.9996388196945191,0.030919663608074188,0.10339093506336212,0.12525019384920597,0.06058034487068653,0.01953900158405304,0.07427537962794303,0.0056263622362166645,0.9645811676979065,0.3472012162208557,0.24116763174533845,0.02770461477339268,0.015364484675228596,0.03366924226284027,0.15048505514860153,0.3861153721809387,0.89672931432724,-4.649745833097035,70.67951078791639,67.80769772749836,7.313106482270706,-7.540883135870741,3.2333547372679012,2.055843009747403,81.3138825790896,-3.6263381670909878,5.09917210275661,54.55602946878635,57.696781698332686,46.47150058162078,36.68088406359054,63.80379992245056,69.91081814656843,80.1085692128732,37.107405971306704,68.98022489336952,89.95734780922838,25.281116711903838,49.12756882512602,57.77433113609926,40.0542846064366,60.604885614579295,77.74331136099264,85.49825513765025,95.15316013958899,80.06979449398992,12.679333074835206,97.44086855370298,34.58704924389298,75.64947654129507,76.92904226444358,86.54517254749902,74.68010856921288,64.67623109732455,52.61729352462194,42.14811942613416,52.07444746025591,85.42070569988367,68.63125242341992,65.83947266382319,72.81892206281505,52.22954633578907,48.97246994959286,80.88406359053897,45.83171772004653,86.58394726638231,70.6863125242342,77.2004652966266,86.46762310973246,50.32958511050795,70.72508724311749,87.43699108181465,61.03140752229546,58.20085304381543,38.85226832105467,75.18417991469562
COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@@]4(C(=O)Nc5ccccc54)[C@H]3C[C@H]12,368.43300000000005,2.062499999999999,5,1,4.0,0.7688453622493742,5,67.87,0.352049919962883,0.9801596999168396,0.6750290513038635,0.02381133968010545,0.11448481157422066,0.09061118774116039,0.02647223640233278,0.2831675589084625,0.31255616843700407,0.7982540845870971,0.17168678641319274,0.01791222831234336,0.6339887142181396,0.28426799178123474,0.9987670660018921,0.04125277921557426,0.18301541209220887,0.10676677338778973,0.03964988216757774,0.018690134026110174,0.09527152627706528,0.0036847343668341636,0.921091365814209,0.1533408060669899,0.13312692940235138,0.028406510408967734,0.006600533658638596,0.01540880985558033,0.10341447293758392,0.2864776149392128,0.7862908601760864,-4.740068129242224,72.45584119606065,62.13256089732736,5.540831041711609,-8.83262999386712,3.3710667998417003,1.457959701791933,76.17287424566665,-3.1748277598847086,4.907891635581033,57.81310585498255,46.60721209771229,59.1120589375727,36.68088406359054,63.80379992245056,84.41256300891818,83.96665374176037,44.998061264055835,71.84955409073284,85.9635517642497,32.72586273749515,43.54400930593253,52.15199689802249,33.03606048856146,45.17254749903063,73.32299340829779,79.06165180302443,87.39821636293136,63.70686312524234,7.754943776657619,95.19193485847228,39.0849166343544,63.784412563008914,81.81465684373788,91.5083365645599,72.70259790616518,56.88251260178364,51.41527723924001,53.35401318340442,44.90112446684761,71.73322993408297,57.38658394726638,51.10507948817371,73.09034509499806,35.94416440480806,38.619620007754946,75.84335013571152,33.85032958511051,77.43311360992632,65.18030244280729,78.71267933307483,83.86971694455215,47.26638231872819,58.23962776269872,90.15122140364483,49.8255137650252,50.91120589375727,47.18883288096161,73.82706475378053
COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@]4(C(=O)Nc5ccccc54)[C@H]3C[C@H]12,368.43300000000005,2.062499999999999,5,1,4.0,0.7688453622493742,5,67.87,0.3623808443546295,0.9778617978096008,0.6518456816673279,0.02059437083080411,0.1118608720600605,0.08081758767366409,0.02740397024899721,0.24931636452674866,0.2944260835647583,0.8078184127807617,0.156967993080616,0.016364089166745543,0.6219997882843018,0.2626763850450516,0.9985988140106201,0.04577117674052715,0.19187437146902084,0.09607478938996791,0.05182668752968311,0.020517750084400176,0.09735868349671364,0.003854181105270982,0.9184703946113586,0.13395657166838645,0.1348843142390251,0.030762151069939136,0.006364184431731701,0.0148539112880826,0.12166279032826424,0.2962184429168701,0.788909113407135,-4.737927198466522,72.28503383061016,63.32221107899331,6.36937374649287,-8.827063132208178,3.3641437964561605,1.5053135636892612,77.02155863244371,-3.2050442355439825,4.90683936719262,57.81310585498255,46.60721209771229,59.1120589375727,36.68088406359054,63.80379992245056,84.41256300891818,83.96665374176037,44.998061264055835,72.89647150058161,84.87785963551764,30.205506010081425,41.60527336176813,51.68670027142303,29.27491275688251,45.71539356339667,70.56998836758433,78.36370686312524,88.9492051182629,62.504846839860406,6.979449398991857,94.61031407522296,37.611477316789454,62.23342380767739,83.32687088018612,91.74098487785963,71.3067080263668,61.61302830554478,54.129507561070184,54.207056998836755,45.75416828227995,70.99651027530051,55.09887553315238,51.41527723924001,74.09848778596356,35.323768902675454,38.07677394338891,78.05350911205893,34.89724699495929,77.66576192322606,65.37417603722373,78.59635517642496,84.3737882900349,48.50717332299341,58.23962776269872,89.91857309034509,50.562233423807676,52.30709577355564,46.68476153547887,73.82706475378053
C[C@@H]1OC=C(C(=O)O)[C@H]2C[C@H]3N(CC[C@@]34C(=O)Nc3ccccc34)C[C@@H]12,354.40600000000006,1.9740999999999995,4,2,4.0,0.8061704998957329,5,78.87,0.2210941046476364,0.8890912055969238,0.6415060877799987,0.0036682227277196945,0.016914360225200653,0.09517446085810662,0.006318668555468321,0.09222935438156128,0.10029202699661255,0.510390716791153,0.003551811049692333,0.02291425094008446,0.49781676530838015,0.40301524102687836,0.9010966420173645,0.027318421751260757,0.22248802632093428,0.04449665993452072,0.02240065485239029,0.018227155692875384,0.1412146881222725,0.01084775710478425,0.1714075595140457,0.016036320850253104,0.1083252590149641,0.010012107342481614,0.006159767601639032,0.0018620286136865616,0.037231873534619805,0.28152685463428495,0.1760662779211998,-5.2604716299865535,0.9651481785023563,-9.078230405522625,11.713920756851014,-10.827522908293519,3.1546882673725536,-0.9158033018098175,66.02955002935207,-2.381041229463382,-1.8979312537627053,54.51725474990306,45.17254749903063,46.47150058162078,60.85692128732067,63.80379992245056,90.15122140364483,83.96665374176037,52.81116711903839,55.48662272198526,65.83947266382319,29.35246219464909,22.101589763474216,22.99340829778984,34.16052733617681,24.81582008530438,46.68476153547887,61.962000775494374,52.03567274137262,25.24234199302055,9.965102753005041,88.63900736719658,47.77045366421093,25.901512214036448,74.6025591314463,92.71035284994184,59.17022101589763,48.46839860411012,50.67855758045754,68.59247770453663,62.19464908879411,18.417991469561844,29.35246219464909,46.83986041101202,55.60294687863513,34.47072508724312,17.68127181077937,60.37223730127956,33.07483520744474,39.976735168670025,33.65645599069407,15.587436991081814,17.448623497479645,56.84373788290035,38.231872818922064,85.18805738658395,13.687475765800698,38.58084528887166,62.504846839860406,22.101589763474216
