smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,PAINS,sa_score
C1C=C(C2=C1C(=CC=C2)S(=O)(=O)N=C=O)Cl,255.682,1.8469,3,0,4.0,0.5983912171048008,0,63.57,0.4527723044157028,0.965291392803192,0.8776473641395569,0.6599308550357819,0.4512121185660362,0.5397748708724975,0.0925174374133348,0.07995574939996,0.0192389494739472,0.6043899416923523,0.0584575042128562,0.652212381362915,0.0348350316286087,0.9406642198562624,0.999991488456726,0.0039584411017131,0.0087518088286742,0.2305897384881973,0.0563638929277658,0.0123833201127126,0.1036706779152154,0.0047773151309229,0.9544267416000366,0.0679992906749248,0.2210622176527977,0.0040386446285992,0.0189867707667872,0.5814160406589508,0.0201728668995201,0.8102316737174988,0.0618039435707032,-4.419290732278228,14.885680670314844,34.587109479767165,46.141839149633526,-6.2484018568968365,2.046418248518502,1.4284370850277257,99.47979063486082,-3.5479886939666008,6.824968657940008,28.73206669251648,43.27258627374951,31.17487398216363,11.768127181077936,63.80379992245056,60.2559131446297,22.48933695230709,41.60527336176813,79.7983714618069,80.37999224505621,66.92516479255525,87.66963939511439,81.81465684373788,94.92051182628926,64.09461031407523,43.23381155486623,34.121752617293524,61.10895696006204,48.97246994959286,94.49398991857308,29.3136874757658,87.16556804963164,97.16944552151996,27.568825126017835,22.29546335789065,83.83094222566886,63.31911593640946,40.75222954633579,57.38658394726638,49.8255137650252,81.46568437378829,46.9174098487786,63.745637844125625,42.41954245831717,56.533540131834044,88.6002326483133,49.12756882512602,84.9941837921675,23.65257851880574,85.3043815432338,27.801473439317565,65.68437378829003,85.84722760759985,81.23303606048856,21.94649088794106,49.32144241954246,90.2287708414114,40.17060876308646,83.21054672353625,[],3.2157323914322493
C1=CC2=C(C(=C1)S(=O)(=O)NCCO)N=CC=C2,252.295,0.5053999999999998,4,2,4.0,0.8304071944662298,0,79.29,0.0627957560122013,0.6867763042449951,0.8290943026542663,0.0744864419102668,0.0380838725715875,0.5402139127254486,0.0128440221305936,0.0585411269217729,0.0032421223877463,0.3526648193597793,0.0106768048834055,0.1291787326335907,0.0425843013450503,0.8977989196777344,0.9998145461082458,0.0119768008589744,0.0087284150533378,0.0851829312741756,0.0095730652101337,0.0043707412201911,0.0198160367086529,0.0046854402869939,0.7224743247032166,0.0142924164421856,0.0520984359085559,0.000869820639491,0.00902307825163,0.0223793287761509,0.0093180696479976,0.2038818717002868,0.0237523341551423,-4.850968757117085,72.4124587286082,35.94669723334912,8.034150705253792,-15.242342762367656,1.961504699388513,1.0559698597676594,66.24719634929247,-2.672016097376265,2.412373868486843,27.607599844901124,27.995347033734006,46.47150058162078,60.85692128732067,63.80379992245056,92.7879022877084,22.48933695230709,53.043815432338114,23.41993020550601,45.63784412563009,55.79682047305157,56.41721597518418,33.65645599069407,94.95928654517256,34.044203179526946,37.14618069018999,13.765025203567273,37.14618069018999,32.842186894145016,45.01744862349748,32.80341217526173,80.96161302830555,81.426909654905,53.31523846452113,22.29546335789065,69.0577743311361,37.7665761923226,19.968980224893368,6.7080263668088405,49.55409073284218,47.84800310197751,27.801473439317565,31.09732454439705,21.8301667312912,41.837921675067854,43.11748739821636,36.64210934470725,21.054672353625435,15.199689802248932,57.85188057386584,78.71267933307483,67.1190383869717,51.26017836370686,8.801861186506397,18.495540907328422,43.15626211709965,38.89104303993796,57.42535866614967,57.34780922838309,[],2.0152156203020937
COCCNS(=O)(=O)C1=CC=CC2=C1N=CC=C2,266.322,1.1595,4,1,4.0,0.8245465028716101,0,68.28999999999999,0.2623138502240181,0.9598456501960756,0.8716705799102783,0.1067641511559486,0.1376154258847236,0.39617879986763,0.022607799898833,0.0765123352408409,0.0015159434144152,0.6626793146133423,0.0252203715965151,0.0865187928080558,0.0576715040951967,0.8375916123390198,0.9999533653259276,0.0074059409089386,0.0049206450115889,0.0501524386927485,0.0165473560802638,0.0117204692680388,0.0231808740645647,0.0038139238720759,0.9583789110183716,0.0242378181777894,0.0562946088612079,0.0015296325436793,0.0112161444965749,0.0041844605933874,0.0114286752883344,0.3471462786197662,0.0602485481649637,-4.41925305062575,116.00680288477513,63.58993689778754,-11.822505827756052,-10.701474229379418,2.044469702772109,1.3385259470905488,75.99869748619884,-2.9033742431000618,-7.31588353569856,31.252423419930203,34.548274525009695,46.47150058162078,36.68088406359054,63.80379992245056,92.05118262892594,22.48933695230709,45.13377278014734,62.07832493214424,78.59635517642496,65.49050019387359,61.10895696006204,54.98255137650252,87.16556804963164,43.03993796044978,42.03179526948429,8.76308646762311,68.55370298565336,40.17060876308646,33.38503295851105,39.82163629313688,75.10663047692904,89.64715005816208,40.67468010856921,13.183404420317952,61.07018224117875,44.47460255913145,39.55021326095385,8.103916246607213,45.52151996898022,82.86157425358665,33.69523070957735,32.64831329972858,29.11981388134936,45.71539356339667,24.27297402093835,40.17060876308646,41.139976735168666,23.38115548662272,85.3043815432338,94.53276463745638,84.52888716556805,16.789453276463746,39.433889104304,21.8301667312912,48.04187669639395,50.601008142690965,52.61729352462194,3.644823575029081,[],1.96927334454395
C1=CC2=C(C=CC(=C2N=C1)N)S(=O)(=O)N,223.25699999999995,0.4644000000000001,4,2,4.0,0.6859870075522864,0,99.07,0.0467741947621107,0.7453998446464538,0.8579959630966186,0.0416701413691043,0.0048251505300868,0.234242770075798,0.0033518906449899,0.0424433584325015,0.0032126999576576,0.1802763417363166,0.0079787917435169,0.3225980728864669,0.0326521508395671,0.9829296469688416,0.9979857683181764,0.0435220934450626,0.0351696603000164,0.0893680024892091,0.0029979452956467,0.0028933292196597,0.0236488628201186,0.0001174072895082,0.3581158861517906,0.0234761919826269,0.0189199143089354,0.0011396275891456,0.0041048350743949,0.0172965853940695,0.0080552453640848,0.0495928324759006,0.0324228783138096,-5.063024815913895,13.79218434392974,7.152738169451526,21.592423666270385,-13.260954147805297,1.8390339828854887,0.7107999370454362,67.1061015244175,-2.070606111943216,-2.5061111089154124,21.24854594804188,27.646374563784413,46.47150058162078,60.85692128732067,63.80379992245056,72.50872431174874,22.48933695230709,66.53741760372237,18.72818922062815,50.67855758045754,61.923226056611085,49.90306320279178,9.15083365645599,68.63125242341992,18.30166731291198,30.08918185343156,13.687475765800698,21.36487010469174,30.74835207444746,74.64133385032959,27.91779759596743,97.98371461806902,58.23962776269872,82.70647537805351,63.5129895308259,69.75571927103529,25.66886390073672,14.191547111283445,8.259015122140365,10.003877471888329,27.91779759596743,33.423807677394336,15.858860023264832,25.16479255525397,26.98720434276852,39.860411012020165,34.47072508724312,0.9693679720822024,17.371074059713067,44.90112446684761,26.328034121752616,37.22373012795657,68.55370298565336,18.456766188445133,13.881349360217138,37.30127956572315,39.860411012020165,68.01085692128731,18.805738658394727,[],2.1855008486350602
C1=CC=C2C(=C1)C(=CC(=C2S(=O)(=O)O)N=[N+]=[N-])N,264.266,2.6105,4,2,4.0,0.2836233258413966,0,129.15,0.9389718651771546,0.8906922459602356,0.9001891493797303,0.3215344697237015,0.0532927522435784,0.2029964312911033,0.0127928642556071,0.0853940516710281,0.0170673501677811,0.3616117715835571,0.0185714552178978,0.8371345043182373,0.147026814520359,0.9364998579025268,0.9976979732513428,0.0126415601931512,0.018751305155456,0.5081276297569275,0.0625126841478049,0.0120747657958418,0.1189015176147222,0.0018079308909364,0.5532414853572846,0.0640965098515153,0.3246589869260788,0.0048113405238837,0.0118531001731753,0.2513571679592132,0.0381718503311276,0.8051417946815491,0.1775570213794708,-5.00406953421618,0.1458322207707894,2.22038547935579,167.46732295671276,-10.973785955477018,1.406729336493117,0.8782956074244159,87.9950591346327,-3.412577900943451,5.616673093590938,30.67080263668088,55.409073284218685,46.47150058162078,60.85692128732067,63.80379992245056,19.23226056611089,22.48933695230709,80.26366808840636,98.33268708801862,66.18844513377277,73.36176812718108,77.12291585886003,39.20124079100427,62.93136874757658,34.00542846064366,45.05622334238077,32.41566498642885,38.1155486622722,37.84412563008918,98.75920899573478,59.480418766963936,86.39007367196588,56.649864288483904,54.827452500969365,42.76851492826677,93.02055060100814,65.10275300504071,40.32570763861962,62.93136874757658,33.501357115160914,36.60333462582396,46.18069018999612,73.12911981388135,45.13377278014734,47.03373400542846,75.8821248545948,60.95385808452889,84.3737882900349,40.13183404420318,48.66227219852656,15.122140364482355,31.058549825513765,98.52656068243505,36.64210934470725,5.0794881737107405,40.36448235750291,69.79449398991858,42.6521907716169,78.13105854982551,['azo_A(324)'],2.795721234469152
C1CC2=CC=C(C3=CC=CC1=C23)S(=O)(=O)NN,248.307,1.0903999999999998,3,2,4.0,0.6170050323775778,0,72.19,0.9523316740989684,0.8737768292427063,0.966015648841858,0.9865467071533204,0.7973766684532165,0.6549181163311004,0.4084947049617767,0.3028564766049385,0.1536306988447904,0.4923387825489044,0.9188344240188598,0.8690332531929016,0.2331515341997146,0.8683709621429443,0.9999939203262328,0.0113421103451401,0.0167013184633105,0.7687863707542419,0.1724537506699562,0.039178118482232,0.2786122649908066,0.0385353008285164,0.9472530722618104,0.0593402596190571,0.2948217362165451,0.0289822600781917,0.112691031396389,0.681695181131363,0.0932353600859642,0.890099048614502,0.3907038867473602,-4.733803913373981,17.72153236950183,7.702952546572412,6.254776520699079,-8.604879687592462,2.296307269935969,1.537063516318684,90.93578737837056,-3.2030224340645588,-0.9496036835469176,26.735168670027143,33.65645599069407,31.17487398216363,60.85692128732067,63.80379992245056,62.65994571539356,22.48933695230709,47.34393175649476,98.52656068243505,64.01706087630865,94.4552151996898,98.9918573090345,94.18379216750678,98.0224893369523,87.01046917409849,74.83520744474602,69.63939511438542,50.56223342380768,95.69600620395502,99.49592865451726,69.91081814656843,78.01473439317564,97.75106630476928,51.37650252035672,39.433889104304,97.51841799146956,82.82279953470336,71.11283443195036,87.24311748739821,80.4575416828228,78.86777820860799,45.36642109344707,70.91896083753393,73.32299340829779,86.15742535866615,92.12873206669252,74.87398216362931,92.47770453664212,58.00697944939899,65.52927491275688,30.51570376114773,38.03799922450562,48.42962388522683,60.2559131446297,35.36254362155874,51.143854207057,75.10663047692904,46.72353625436215,28.615742535866616,[],2.4290079279944017
CC(=C)COC1=CC=CC=C1S(=O)(=O)N,227.285,1.2889000000000002,3,1,4.0,0.7878308426972492,0,69.39,0.022227054531686,0.8800117492675781,0.8357665061950683,0.0243233248125761,0.0088339843554422,0.2453659996390342,0.0014595704269595,0.1253432400524616,0.0073708149138838,0.24922776222229,0.0010080737643875,0.3592249125242233,0.0164335129782557,0.766516137123108,0.9983643531799316,0.0043418147135525,0.0204837263561785,0.0026888333959504,0.0008769537587795,0.0008956969948485,0.0128562006168067,8.125390158966183e-05,0.7079365670680999,0.1005409032106399,0.0159928513690829,7.453501002601115e-05,0.0008598924789112,0.0021032531250966,0.0002788316865917,0.0662524724379181,0.0141606879886239,-4.301083510181119,54.9637479492864,23.01463909423623,-22.696129140886097,-7.654043183225451,1.703408776476128,0.8526713175044417,86.20912899622235,-2.4002284290985587,1.849736648600228,21.98526560682435,35.8278402481582,31.17487398216363,36.68088406359054,63.80379992245056,87.20434276851492,22.48933695230709,45.92865451725475,8.840635905389686,64.87010469174098,57.81310585498255,43.66033346258239,15.005816207832492,70.45366421093446,11.360992632803413,54.51725474990306,21.209771229158587,28.227995347033733,17.913920124079098,78.94532764637457,16.67312911981388,68.98022489336952,60.64366033346258,29.236138037999226,45.36642109344707,17.642497091896082,14.579294300116324,6.048856145792943,3.761147731678945,8.452888716556805,46.99495928654517,51.29895308259015,14.23032183016673,6.126405583559519,9.073284218689414,18.573090345095,5.893757270259791,1.8224117875145405,11.167119038386971,91.39201240791004,66.22721985265606,55.99069406746801,6.7080263668088405,69.63939511438542,10.35284994183792,39.976735168670025,65.91702210158977,62.31097324544397,52.888716556804965,[],2.0733465803423776
CC1(OC2=C(O1)C(=CC=C2)S(=O)(=O)N)C,229.257,0.8413000000000003,4,1,4.0,0.7735840631335481,0,78.62,0.0346668029204011,0.935837423801422,0.881326949596405,0.0207761743571609,0.0150473592802882,0.2233978904783725,0.0021530742757022,0.0810156049206853,0.0040100226877257,0.3233985960483551,0.0012238172988872,0.3923403680324554,0.0099703759420663,0.8830514192581177,0.9993687152862548,0.0012772996327839,0.0099129740148782,0.0084996220190078,0.0009318218202679,0.0005682581075234,0.0060584950726479,5.892609769944102e-05,0.8056236863136291,0.0619207389652729,0.0130436408799141,9.906288805723306e-05,0.000821648852434,0.0030214125872589,0.0002609483140986,0.082237534970045,0.0113131176010938,-4.309340711134051,34.24803330921093,11.80615856905487,7.807034754186347,-7.190046796550926,2.2764500018601312,0.9020296256141332,73.94306815450624,-2.4172794264778394,8.01430709817484,22.29546335789065,31.058549825513765,46.47150058162078,36.68088406359054,63.80379992245056,85.22683210546724,22.48933695230709,52.57851880573865,13.920124079100423,73.40054284606437,68.08840635905389,41.68282279953471,21.24854594804188,66.34354400930593,14.346645986816595,43.621558743699104,15.587436991081814,34.1993020550601,18.76696393951144,81.85343156262117,11.516091508336563,79.52694842962389,70.56998836758433,12.718107793718495,24.738270647537803,33.19115936409461,15.08336564559907,4.07134548274525,2.5591314462970143,7.367196587824738,55.253974408685536,45.870492438929816,12.330360604885614,7.095773555641721,8.685537029856533,22.29546335789065,5.622334238076774,3.218301667312912,9.073284218689414,90.8879410624273,48.11942613416053,42.45831717720046,51.02753005040714,73.63319115936409,34.121752617293524,40.63590538968592,48.313299728576965,62.11709965102753,87.08801861186507,[],2.641734657265454
