  #_frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
       101     36.000          35.919          36.725          37.217          12.260           0.266
       102     35.840          35.756          36.602          37.067           9.975           0.236
       103     36.043          35.964          36.779          37.299          10.079           0.164
       104     34.942          34.856          35.724          36.226          10.423           0.177
       105     34.517          34.421          35.264          35.715          10.016           0.228
       106     33.381          33.254          34.276          34.683           7.820           0.167
       107     34.469          34.383          35.311          35.726           9.810           0.174
       108     31.850          31.735          32.701          33.023           8.689           0.308
       109     31.344          31.205          32.199          32.532           8.814           0.165
       110     30.320          30.200          31.249          31.497           8.237           0.232
       111     30.378          30.258          31.196          31.493           7.983           0.197
       112     30.549          30.428          31.390          31.692           7.095           0.203
       113     30.814          30.695          31.863          32.036           7.632           0.256
       114     31.103          30.973          32.079          32.301           8.585           0.159
       115     31.381          31.272          32.248          32.545           8.107           0.240
       116     32.458          32.345          33.462          33.759           8.078           0.267
       117     32.548          32.436          33.481          33.814           8.524           0.220
       118     32.656          32.523          33.606          33.913           9.156           0.287
       119     33.404          33.280          34.307          34.654           9.271           0.248
       120     31.629          31.488          32.511          32.808           9.175           0.244
       121     31.070          30.937          31.962          32.260           9.128           0.218
       122     31.555          31.437          32.346          32.760          10.030           0.272
       123     30.176          30.060          31.068          31.404           8.228           0.193
       124     30.609          30.490          31.401          31.818           8.068           0.255
       125     31.283          31.169          32.174          32.552           7.966           0.248
       126     31.943          31.830          32.850          33.263           9.663           0.190
       127     32.608          32.497          33.420          33.964           9.898           0.309
       128     31.690          31.596          32.547          33.053           9.383           0.230
       129     31.713          31.632          32.603          33.060           8.898           0.228
       130     33.053          32.959          33.985          34.491          10.233           0.264
       131     32.653          32.596          33.526          34.079           9.444           0.120
       132     32.108          32.017          32.916          33.528           9.001           0.241
       133     32.160          32.068          33.003          33.551           9.440           0.237
       134     32.378          32.292          33.314          33.807          10.035           0.249
       135     31.865          31.764          32.867          33.338           8.598           0.296
       136     31.458          31.370          32.381          32.923           7.757           0.323
       137     32.206          32.121          33.055          33.633           9.603           0.259
       138     32.714          32.614          33.572          34.180           7.978           0.275
       139     33.476          33.371          34.237          34.903           8.780           0.200
       140     32.890          32.790          33.709          34.323           9.644           0.225
       141     32.118          32.008          33.018          33.577           8.640           0.260
       142     32.573          32.452          33.432          34.037           9.594           0.230
       143     32.735          32.639          33.413          34.079           8.989           0.179
       144     32.820          32.731          33.678          34.291           9.430           0.143
       145     31.960          31.873          32.861          33.439           8.809           0.272
       146     32.174          32.102          32.992          33.581           9.376           0.222
       147     33.111          33.022          33.939          34.543           9.091           0.200
       148     34.550          34.460          35.254          35.963           8.826           0.301
       149     34.067          33.963          34.909          35.540           9.960           0.268
       150     33.946          33.847          34.830          35.369          10.127           0.331
       151     34.266          34.180          35.118          35.692          10.000           0.304
       152     34.281          34.185          35.131          35.701           9.527           0.196
       153     34.763          34.662          35.484          36.165           8.833           0.209
       154     36.162          36.078          36.896          37.567          11.134           0.301
       155     34.408          34.336          35.139          35.786          10.347           0.283
       156     34.087          33.986          35.038          35.554          10.227           0.235
       157     34.720          34.636          35.602          36.198          10.515           0.271
       158     32.738          32.648          33.498          34.114           8.960           0.265
       159     33.567          33.474          34.400          35.002           8.941           0.302
       160     33.932          33.848          34.807          35.329           9.214           0.173
       161     33.865          33.765          34.736          35.297           9.991           0.211
       162     32.477          32.369          33.424          33.862           8.660           0.346
       163     31.105          31.021          32.055          32.488           9.255           0.228
       164     32.461          32.386          33.321          33.856          10.204           0.164
       165     31.956          31.876          32.853          33.355           9.453           0.209
       166     31.656          31.581          32.617          33.108           8.598           0.215
       167     31.504          31.422          32.403          32.929           9.399           0.295
       168     31.641          31.546          32.419          32.984           8.597           0.281
       169     31.251          31.150          32.180          32.653           8.738           0.237
       170     31.984          31.901          32.789          33.373           9.204           0.283
       171     31.646          31.549          32.498          33.055           9.271           0.229
       172     32.375          32.264          33.250          33.795           8.946           0.253
       173     31.973          31.853          32.992          33.484           9.672           0.300
       174     32.544          32.417          33.457          33.985           9.390           0.250
       175     32.477          32.366          33.421          33.945           9.435           0.358
       176     33.371          33.244          34.275          34.839           9.280           0.213
       177     31.643          31.551          32.470          33.082           8.321           0.370
       178     31.651          31.559          32.465          33.085           9.530           0.187
       179     31.928          31.819          32.836          33.394           9.634           0.347
       180     32.619          32.516          33.564          34.126          11.014           0.245
       181     32.674          32.583          33.491          34.121          10.335           0.322
       182     33.257          33.141          34.237          34.735           9.661           0.401
       183     31.842          31.733          32.698          33.293           9.868           0.356
       184     32.908          32.802          33.841          34.412          10.457           0.169
       185     31.223          31.118          32.118          32.635           8.942           0.275
       186     31.618          31.518          32.408          32.996           9.206           0.245
       187     31.714          31.614          32.579          33.147           9.384           0.209
       188     31.442          31.364          32.255          32.854           7.847           0.192
       189     32.290          32.215          33.120          33.702           9.798           0.234
       190     31.639          31.563          32.417          33.045           9.304           0.258
       191     31.248          31.166          32.113          32.690           9.988           0.306
       192     31.351          31.255          32.359          32.850           9.673           0.237
       193     31.526          31.428          32.486          33.021          10.148           0.321
       194     30.853          30.749          31.770          32.280           9.618           0.240
       195     31.122          31.015          32.121          32.567          10.291           0.207
       196     31.809          31.711          32.711          33.217           9.821           0.219
       197     31.891          31.781          32.884          33.360           9.551           0.192
       198     31.828          31.725          32.740          33.222           9.847           0.228
       199     31.634          31.527          32.605          33.013           9.066           0.207
       200     32.129          32.033          33.063          33.541           8.956           0.260
       201     32.757          32.663          33.739          34.174           9.245           0.200
       202     31.320          31.228          32.339          32.737           8.833           0.157
       203     31.358          31.281          32.289          32.788           8.288           0.256
       204     32.365          32.265          33.330          33.785           9.036           0.233
       205     32.309          32.202          33.232          33.679           8.425           0.150
       206     31.501          31.391          32.386          32.866           7.664           0.296
       207     32.028          31.911          32.951          33.374           7.869           0.288
       208     31.995          31.886          32.964          33.393           8.874           0.281
       209     31.577          31.469          32.614          32.981           7.849           0.263
       210     31.228          31.120          32.276          32.618           7.873           0.150
       211     31.181          31.088          32.272          32.601           7.772           0.226
       212     31.000          30.903          32.045          32.418           7.974           0.286
       213     30.769          30.672          31.807          32.195           8.334           0.219
       214     31.057          30.959          32.116          32.485           8.264           0.218
       215     31.062          30.970          32.057          32.448           8.475           0.144
       216     30.839          30.757          31.847          32.245           9.488           0.322
       217     31.483          31.395          32.427          32.888           8.891           0.292
       218     30.179          30.074          31.197          31.568           7.472           0.240
       219     31.784          31.687          32.789          33.155           8.892           0.199
       220     31.143          31.047          32.089          32.493           8.401           0.293
       221     31.257          31.157          32.163          32.608           8.648           0.284
       222     30.394          30.300          31.293          31.729           8.191           0.180
       223     30.804          30.703          31.647          32.123           8.878           0.282
       224     30.007          29.908          30.858          31.354           9.205           0.301
       225     31.234          31.143          32.101          32.660           9.176           0.258
       226     31.044          30.957          31.982          32.461           7.858           0.191
       227     31.627          31.530          32.547          33.098           8.524           0.227
       228     31.764          31.671          32.743          33.263           8.272           0.265
       229     32.655          32.592          33.664          34.172           9.573           0.228
       230     32.105          32.005          33.170          33.563          10.449           0.221
       231     30.389          30.295          31.320          31.736          10.314           0.384
       232     31.152          31.048          32.035          32.421          10.107           0.251
       233     31.144          31.044          32.162          32.512           9.568           0.268
       234     31.185          31.091          32.099          32.498           8.073           0.222
       235     32.490          32.385          33.344          33.838           9.714           0.404
       236     32.271          32.149          33.252          33.665          10.022           0.204
       237     31.590          31.487          32.646          33.010           9.518           0.235
       238     33.211          33.080          34.387          34.754          10.480           0.288
       239     32.541          32.421          33.619          33.989           9.846           0.183
       240     33.892          33.748          34.901          35.327          10.738           0.262
       241     33.411          33.272          34.393          34.847           9.984           0.228
       242     33.357          33.241          34.271          34.728          10.014           0.176
       243     32.896          32.752          33.927          34.331           8.711           0.295
       244     32.619          32.488          33.669          34.077           9.262           0.317
       245     31.611          31.481          32.596          32.965           9.323           0.268
       246     32.139          32.011          33.171          33.560          10.529           0.226
       247     31.666          31.537          32.668          33.073           9.103           0.321
       248     32.176          32.028          33.217          33.630           9.554           0.391
       249     31.786          31.683          32.739          33.156           8.754           0.220
       250     32.649          32.528          33.702          34.101          10.269           0.348
       251     32.714          32.600          33.621          34.099           8.804           0.202
       252     32.989          32.878          33.967          34.428           9.906           0.289
       253     34.284          34.183          35.308          35.793          10.314           0.300
       254     34.273          34.181          35.217          35.745          11.290           0.245
       255     33.481          33.377          34.471          34.971           9.942           0.247
       256     33.635          33.525          34.608          35.095          10.574           0.238
       257     33.962          33.857          34.984          35.497          11.226           0.218
       258     34.411          34.300          35.429          35.951          11.282           0.270
       259     35.036          34.926          36.040          36.565          11.785           0.302
       260     34.012          33.904          35.072          35.554          10.450           0.253
       261     34.222          34.123          35.208          35.727          11.132           0.231
       262     34.393          34.301          35.421          35.874          11.495           0.259
       263     34.599          34.500          35.552          36.055          11.067           0.233
       264     33.479          33.382          34.459          34.980           9.959           0.269
       265     33.592          33.472          34.460          35.030          10.766           0.271
       266     34.115          34.014          35.033          35.577           9.320           0.232
       267     33.645          33.521          34.604          35.163          10.123           0.200
       268     33.464          33.360          34.339          34.928           9.749           0.239
       269     32.223          32.094          33.190          33.707           9.590           0.217
       270     32.275          32.143          33.246          33.755           9.262           0.251
       271     31.936          31.809          32.800          33.341           9.470           0.290
       272     32.541          32.413          33.592          34.078           9.706           0.249
       273     32.749          32.638          33.725          34.251           9.831           0.374
       274     33.325          33.198          34.276          34.824          10.018           0.324
       275     33.558          33.434          34.507          35.056           9.476           0.238
       276     33.457          33.340          34.410          34.962          10.329           0.262
       277     33.185          33.050          34.133          34.652          10.026           0.200
       278     32.440          32.333          33.273          33.817           9.304           0.219
       279     32.226          32.121          33.038          33.603           8.526           0.296
       280     32.379          32.281          33.123          33.769           9.294           0.289
       281     32.887          32.783          33.638          34.249          10.082           0.313
       282     33.204          33.084          34.013          34.598           9.654           0.197
       283     32.423          32.312          33.334          33.870           9.248           0.258
       284     32.341          32.221          33.285          33.783           9.184           0.189
       285     32.513          32.397          33.330          33.913           9.129           0.321
       286     33.578          33.455          34.506          35.059           9.593           0.307
       287     32.829          32.708          33.715          34.250           9.700           0.183
       288     32.990          32.875          33.861          34.403           9.919           0.272
       289     33.293          33.196          34.009          34.673           9.866           0.320
       290     33.306          33.197          34.124          34.705           9.885           0.255
       291     33.126          33.002          34.062          34.581           9.620           0.189
       292     32.350          32.237          33.238          33.779           9.709           0.221
       293     32.417          32.321          33.413          33.842          10.020           0.292
       294     32.435          32.328          33.430          33.878           9.558           0.245
       295     31.372          31.273          32.334          32.800           8.956           0.282
       296     31.246          31.148          32.289          32.721           9.727           0.313
       297     31.312          31.216          32.293          32.717          10.000           0.282
       298     31.275          31.172          32.228          32.695           9.488           0.256
       299     30.188          30.087          31.181          31.602           9.151           0.219
       300     29.943          29.862          30.927          31.348          10.191           0.286
       301     30.684          30.586          31.713          32.095          11.231           0.356
       302     31.467          31.369          32.466          32.848          10.789           0.227
       303     32.080          31.991          33.066          33.463           9.661           0.332
       304     32.493          32.384          33.508          33.912          10.319           0.250
       305     32.683          32.614          33.717          34.089          11.816           0.259
       306     33.030          32.948          34.115          34.495          12.717           0.261
       307     32.946          32.870          33.913          34.327          11.728           0.228
       308     31.661          31.557          32.696          33.087          10.415           0.235
       309     30.950          30.863          31.807          32.268          10.099           0.282
       310     30.940          30.850          31.842          32.303           9.793           0.258
       311     30.228          30.131          31.124          31.545           7.987           0.236
       312     31.707          31.620          32.573          32.995           9.937           0.174
       313     33.201          33.137          33.958          34.424           9.441           0.271
       314     32.977          32.898          33.806          34.259           9.933           0.237
       315     32.897          32.807          33.761          34.236           9.737           0.270
       316     32.020          31.941          32.802          33.276           8.739           0.197
       317     31.183          31.090          32.070          32.502           9.107           0.209
       318     31.350          31.252          32.231          32.654           8.768           0.231
       319     32.021          31.930          32.849          33.363           9.377           0.271
       320     33.441          33.358          34.231          34.790           9.903           0.255
       321     32.991          32.907          33.868          34.381           9.624           0.292
       322     32.593          32.509          33.487          34.029           9.441           0.245
       323     32.182          32.081          32.968          33.507           9.665           0.276
       324     32.041          31.966          32.830          33.363          11.317           0.222
       325     32.310          32.223          33.119          33.618          10.897           0.173
       326     32.000          31.917          32.861          33.337          11.930           0.241
       327     31.758          31.664          32.655          33.069          10.365           0.185
       328     31.850          31.754          32.692          33.121          10.103           0.137
       329     32.071          31.989          32.862          33.349          11.198           0.205
       330     31.896          31.805          32.672          33.181          10.863           0.174
       331     31.778          31.690          32.602          33.028          11.690           0.299
       332     31.542          31.456          32.298          32.792           9.609           0.248
       333     31.027          30.935          31.912          32.344          10.561           0.190
       334     31.159          31.078          32.055          32.516           9.305           0.167
       335     31.404          31.310          32.374          32.773          10.646           0.292
       336     30.865          30.801          31.719          32.238           9.405           0.250
       337     32.279          32.172          33.090          33.634          11.694           0.280
       338     31.700          31.584          32.562          33.125           9.980           0.249
       339     31.220          31.097          32.090          32.585           9.024           0.180
       340     30.951          30.852          31.817          32.311           9.358           0.215
       341     30.083          29.980          31.016          31.462           7.865           0.198
       342     31.606          31.521          32.412          32.928           8.884           0.260
       343     30.705          30.597          31.630          32.062           8.531           0.256
       344     32.121          32.018          33.004          33.463           8.794           0.218
