  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.190        3.498            0      308.850      187.347      161.702
      127        0.309        3.429            0      304.786      185.652      159.873
      128        0.230        3.464            0      306.374      212.710      160.755
      129        0.228        3.507            0      307.460      135.713      160.029
      130        0.264        3.447            0      304.481      156.709      158.688
      131        0.120        3.459            0      306.249      135.241      162.797
      132        0.241        3.451            0      305.134      172.617      159.935
      133        0.237        3.493            0      308.386      202.465      162.299
      134        0.249        3.505            0      307.035      208.662      162.137
      135        0.296        3.389            0      302.457      225.090      161.437
      136        0.323        3.511            0      307.756      198.616      158.631
      137        0.259        3.465            0      305.356      185.173      161.845
      138        0.275        3.459            0      304.934      161.696      160.232
      139        0.200        3.472            0      307.346      150.504      159.153
      140        0.225        3.453            0      305.364      152.375      164.087
      141        0.260        3.444            0      304.172      213.098      158.513
      142        0.230        3.462            0      306.696      210.352      161.733
      143        0.179        3.480            0      306.832      224.322      162.315
      144        0.143        3.432            0      304.618      234.049      165.840
      145        0.272        3.435            0      305.294      219.973      163.877
      146        0.222        3.470            0      307.144      215.196      160.040
      147        0.200        3.451            0      304.718      231.439      162.447
      148        0.301        3.450            0      304.240      190.585      162.841
      149        0.268        3.497            0      309.649      215.155      160.391
      150        0.331        3.487            0      308.158      228.441      158.269
      151        0.304        3.477            0      307.339      195.359      160.770
      152        0.196        3.467            0      306.639      235.756      161.425
      153        0.209        3.474            0      307.337      237.122      163.779
      154        0.301        3.419            0      305.950      224.625      163.760
      155        0.283        3.465            0      305.426      230.976      158.412
      156        0.235        3.471            0      305.830      219.626      160.096
      157        0.271        3.436            0      306.625      246.043      158.941
      158        0.265        3.431            0      304.025      207.048      160.321
      159        0.302        3.439            0      303.428      205.710      167.157
      160        0.173        3.449            0      305.217      238.753      162.980
      161        0.211        3.461            0      305.964      233.376      163.734
      162        0.346        3.388            0      303.195      246.667      162.724
      163        0.228        3.479            0      306.238      225.276      157.179
      164        0.164        3.412            0      303.419      200.989      162.310
      165        0.209        3.472            0      308.432      230.958      167.924
      166        0.215        3.450            0      307.150      205.440      164.388
      167        0.295        3.519            0      308.321      203.445      157.735
      168        0.281        3.451            0      306.763      205.232      163.589
      169        0.237        3.464            0      306.961      198.924      161.262
      170        0.283        3.483            0      304.335      151.391      161.552
      171        0.229        3.479            0      307.430      178.914      157.810
      172        0.253        3.448            0      306.246      182.088      161.033
      173        0.300        3.442            0      305.709      174.019      163.060
      174        0.250        3.502            0      307.159      167.573      160.152
      175        0.358        3.469            0      305.375      138.822      160.412
      176        0.213        3.455            0      305.110      193.306      160.834
      177        0.370        3.457            0      306.138      216.646      160.634
      178        0.187        3.451            0      307.008      175.754      165.277
      179        0.347        3.511            0      307.372      167.009      159.814
      180        0.245        3.445            0      305.363      158.875      166.537
      181        0.322        3.494            0      308.842      198.712      158.015
      182        0.401        3.410            0      302.699      174.170      163.242
      183        0.356        3.454            0      306.637      179.031      161.099
      184        0.169        3.458            0      307.430      139.336      164.121
      185        0.275        3.495            0      308.562      194.791      162.081
      186        0.245        3.438            0      305.095      194.883      159.382
      187        0.209        3.405            0      302.835      186.989      161.817
      188        0.192        3.470            0      305.672      203.812      163.529
      189        0.234        3.451            0      304.265      185.863      161.565
      190        0.258        3.467            0      305.595      212.897      157.368
      191        0.306        3.422            0      302.533      194.163      158.136
      192        0.237        3.463            0      306.037      214.696      159.921
      193        0.321        3.444            0      305.094      196.702      159.201
      194        0.240        3.437            0      304.256      198.610      157.698
      195        0.207        3.450            0      305.467      171.665      160.463
      196        0.219        3.462            0      305.979      153.056      158.736
      197        0.192        3.481            0      308.051      185.065      164.647
      198        0.228        3.473            0      307.113      182.103      159.786
      199        0.207        3.484            0      307.421      209.085      160.852
      200        0.260        3.477            0      307.036      224.136      157.118
      201        0.200        3.425            0      305.788      246.854      161.900
      202        0.157        3.444            0      305.437      214.768      164.699
      203        0.256        3.439            0      304.130      233.164      160.641
      204        0.233        3.496            0      306.750      225.181      159.660
      205        0.150        3.466            0      306.845      219.774      163.988
      206        0.296        3.496            0      306.430      224.338      156.972
      207        0.288        3.460            0      304.726      195.042      158.370
      208        0.281        3.439            0      304.019      179.953      158.017
      209        0.263        3.455            0      305.662      205.551      160.958
      210        0.150        3.445            0      306.214      221.205      160.442
      211        0.226        3.480            0      308.360      231.997      158.232
      212        0.286        3.401            0      302.166      217.694      161.319
      213        0.219        3.415            0      305.276      212.138      166.275
      214        0.218        3.456            0      307.716      211.823      157.345
      215        0.144        3.473            0      308.354      236.809      164.159
      216        0.322        3.467            0      306.423      193.768      157.090
      217        0.292        3.461            0      304.746      187.828      161.298
      218        0.240        3.436            0      302.769      201.932      159.582
      219        0.199        3.474            0      306.187      214.466      160.156
      220        0.293        3.449            0      305.636      220.747      159.490
      221        0.284        3.500            0      307.002      243.967      160.569
      222        0.180        3.429            0      304.576      206.943      161.708
      223        0.282        3.494            0      305.245      254.294      158.160
      224        0.301        3.514            0      308.383      218.370      158.770
      225        0.258        3.438            0      305.614      213.136      163.520
      226        0.191        3.445            0      305.860      197.360      164.035
      227        0.227        3.473            0      306.625      184.648      161.746
      228        0.265        3.474            0      308.084      199.916      160.255
      229        0.228        3.482            0      307.853      191.100      158.264
      230        0.221        3.432            0      304.266      250.198      163.235
      231        0.384        3.475            0      305.252      215.658      154.613
      232        0.251        3.446            0      305.156      224.212      156.441
      233        0.268        3.413            0      304.974      253.568      159.672
      234        0.222        3.476            0      306.239      292.414      165.991
      235        0.404        3.396            0      303.215      219.605      162.287
      236        0.204        3.461            0      306.511      243.462      162.276
      237        0.235        3.445            0      305.646      236.211      160.804
      238        0.288        3.436            0      303.136      197.511      160.985
      239        0.183        3.476            0      307.900      213.764      160.514
      240        0.262        3.472            0      308.873      187.377      159.930
      241        0.228        3.467            0      308.141      190.031      167.006
      242        0.176        3.435            0      305.621      209.981      159.811
      243        0.295        3.498            0      307.665      193.343      164.301
      244        0.317        3.507            0      306.708      191.121      159.051
      245        0.268        3.489            0      306.271      168.649      161.407
      246        0.226        3.484            0      306.561      128.572      162.876
      247        0.321        3.421            0      304.013      143.211      159.592
      248        0.391        3.520            0      306.974      154.778      156.285
      249        0.220        3.460            0      306.603      169.685      161.901
      250        0.348        3.501            0      305.178      139.542      152.547
      251        0.202        3.454            0      304.701      163.751      157.303
      252        0.289        3.466            0      306.901      161.338      162.491
      253        0.300        3.466            0      306.699      179.681      157.941
      254        0.245        3.442            0      305.952      143.282      157.279
      255        0.247        3.449            0      306.853      172.333      166.863
      256        0.238        3.442            0      306.267      128.873      162.366
      257        0.218        3.401            0      302.232      157.519      163.854
      258        0.270        3.457            0      306.674      145.704      162.110
      259        0.302        3.460            0      303.534      141.316      158.803
