smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,PAINS
ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,412.94600000000014,3.809000000000002,5,1,4.0,0.7074872979003035,0,48.47,0.3582517623901367,0.9745341062545776,0.6472095012664795,0.5970241129398346,0.6748032927513122,0.2241113990545273,0.2707987368106842,0.5183846354484558,0.7061325073242187,0.7814369440078736,0.6509694695472718,0.2576146811246872,0.6418876111507416,0.8579233765602112,0.9983601570129396,0.0459562733769416,0.0400941271334886,0.5598659992218018,0.2371805638074874,0.0502494823187589,0.1097421497106552,0.0286918140947818,0.917586350440979,0.7743535280227661,0.7152793049812317,0.0317639962770044,0.0906433537602424,0.2246247425675392,0.3201518446207047,0.4454166114330292,0.9255202531814576,-4.961893831418375,46.52015935411963,55.00835438435888,42.34011970125219,-11.17878642512248,2.8434482623304147,3.0947268912214314,103.05999302314645,-4.59528005518776,-1.7972855426220486,68.20473051570376,74.2535866614967,59.1120589375727,36.68088406359054,63.80379992245056,76.11477316789453,22.48933695230709,29.662659945715397,72.54749903063203,83.52074447460255,29.778984102365257,85.9635517642497,90.34509499806126,66.49864288483909,80.88406359053897,86.9716944552152,90.5389685924777,85.3043815432338,85.14928266770066,66.96393951143854,95.65723148507172,77.08414113997674,60.566110895696006,83.36564559906941,67.54556029468786,93.95114385420706,87.82473827064753,76.92904226444358,59.82939123691353,76.69639395114385,70.88018611865064,87.08801861186507,93.36952307095774,74.68010856921288,83.63706863125242,74.33113609926328,91.15936409461032,52.15199689802249,89.84102365257851,51.29895308259015,59.20899573478092,80.34121752617293,83.714618069019,34.58704924389298,70.49243892981775,82.66770065917022,94.64908879410623,20.473051570376114,22.87708414113997,[]
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,260.381,2.845700000000001,2,1,4.0,0.8173315946878695,0,32.34,0.2872857883572578,0.9931077480316162,0.7888142585754394,0.0438521523028612,0.0413857772946357,0.108743629604578,0.0053305969573557,0.5210157990455627,0.4261539191007614,0.4498654663562774,0.0012988806702196,0.2530470624566078,0.3731540992856025,0.1210195392370224,0.9836978435516356,0.0113336353562772,0.0349785689264535,0.0379461161792278,0.0040820702677592,0.0041104279924184,0.0776021309196949,0.0009691318824479,0.7734423637390136,0.0221721924841403,0.0713500179350376,0.0057266188785433,0.0038807759294286,0.0085043044295161,0.0299322053790092,0.8775012850761413,0.7697770357131958,-4.5939422888192025,42.89434897299763,22.42441890949288,53.72660921049816,-9.028088922657547,2.83976932881313,0.8479302602666581,45.8981532372466,-2.2692983208257496,8.018520557627173,29.89530825901512,59.557968204730514,16.38231872818922,36.68088406359054,63.80379992245056,91.1981388134936,22.48933695230709,16.362931368747574,64.87010469174098,93.75727025979062,49.01124466847615,50.4846839860411,35.01357115160915,38.54207056998837,23.070957735556416,87.20434276851492,83.67584335013571,46.99495928654517,19.077161690577743,66.49864288483909,81.03916246607211,23.342380767739435,37.65025203567274,51.33772780147344,63.35789065529275,56.57231485071733,28.770841411399765,18.76696393951144,44.086855370298565,25.35866614967041,51.64792555253975,32.880961613028305,36.91353237689027,47.80922838309422,25.86273749515316,32.06669251647926,55.83559519193486,91.58588600232648,76.38619620007755,74.17603722373012,56.22334238076774,55.331523846452114,88.13493602171384,56.533540131834044,70.25979061651803,39.860411012020165,19.23226056611089,64.79255525397441,87.12679333074836,[]
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,398.48200000000014,3.3349400000000013,3,3,4.0,0.6263032743124629,0,77.23,0.824532437324524,0.9477871537208558,0.8696355581283569,0.5137694478034973,0.1423394486308097,0.1468901865184307,0.0504847805947065,0.3842101633548737,0.5850329339504242,0.6541121065616607,0.2988911271095276,0.4827371001243591,0.7444677650928497,0.7179584085941315,0.9932967782020568,0.0275902409106493,0.0196940330788493,0.4139900147914886,0.0358022421598434,0.012444151751697,0.0463267300277948,0.0031406175694428,0.8509591937065124,0.6600301027297973,0.0979896776378154,0.0598667122423648,0.0185161611065268,0.1138270020484924,0.1105223812162876,0.4882645845413208,0.9373551487922668,-5.0746219666426,2.3318956578887606,28.71015670515865,168.05375265694494,-12.748965464997465,3.443756342717511,2.4686147811533994,78.87961775590725,-3.53191069664672,29.4274368118004,65.02520356727413,66.80884063590538,31.17487398216363,77.25862737495153,63.80379992245056,64.13338503295851,22.48933695230709,51.60915083365646,95.153160139589,75.84335013571152,64.8313299728577,83.21054672353625,55.75804575416828,49.86428848390849,53.97440868553703,79.41062427297402,87.82473827064753,67.46801085692128,72.39240015509887,87.66963939511439,98.21636293136876,65.68437378829003,45.48274525009693,74.83520744474602,44.35827840248158,90.77161690577744,55.56417215975184,41.023652578518806,23.92400155098876,42.45831717720046,59.67429236138038,82.31872818922062,43.58278402481582,82.0860798759209,56.18456766188445,65.4517254749903,76.65761923226056,56.61108956960062,91.5471112834432,44.16440480806514,16.595579682047305,60.566110895696006,98.56533540131834,22.48933695230709,91.58588600232648,69.40674680108569,55.21519968980225,40.55835595191935,99.0306320279178,[]
O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=C1C=CC=C2,277.283,2.6538000000000004,4,3,4.0,0.3935462415947194,0,73.72,0.5641278088092804,0.7818973302841187,0.771576875448227,0.958050298690796,0.4981313675642013,0.2318255595862865,0.5995338261127472,0.1284633100032806,0.120244500786066,0.5845531165599823,0.5632935285568237,0.2529052197933197,0.0398407768458127,0.9512829065322876,0.9996037960052492,0.04486482469365,0.0338302151300013,0.854100513458252,0.2046247482299804,0.044694631639868,0.2905680030584335,0.0833791207522153,0.9104471325874328,0.2659442812204361,0.7600075721740722,0.1472237944602966,0.2901144355535507,0.939905607700348,0.4578675270080566,0.9309674739837648,0.6697998464107513,-4.647313820394911,28.43279584964152,17.48675269210716,90.59911007803063,-9.661807536469814,2.603347590629248,3.1043866472454296,91.23361464489123,-6.227456620147805,-5.779294487037068,34.00542846064366,56.3396665374176,46.47150058162078,77.25862737495153,63.80379992245056,33.11360992632803,22.48933695230709,48.62349747964327,86.19620007754943,54.12950756107018,46.10314075222954,97.3633191159364,83.83094222566886,68.20473051570376,92.71035284994184,55.292749127568825,65.33540131834044,58.82124854594804,82.55137650252036,66.42109344707251,31.67894532764637,89.37572702597906,74.87398216362931,83.01667312911981,62.42729740209384,98.60411012020164,85.80845288871656,74.17603722373012,87.90228770841411,89.49205118262893,68.98022489336952,64.55990694067468,94.7654129507561,91.5471112834432,94.4552151996898,98.75920899573478,94.8041876696394,95.73478092283833,70.76386196200077,70.88018611865064,42.3419930205506,49.70918960837534,94.88173710740595,49.90306320279178,55.06010081426909,82.82279953470336,75.84335013571152,3.8774718883288095,6.475378053509112,[]
[H]N1C(=O)C(CC2=CC=C(C=C2)N2CCN(CC2)C=O)C2=CC=CC=C12,335.40700000000004,2.2433999999999994,3,1,4.0,0.8720996397714569,1,52.650000000000006,0.1769633322954177,0.965613853931427,0.6291130840778351,0.1303681790828705,0.624178808927536,0.4984409213066101,0.3670646339654922,0.3785500884056091,0.0521602127701044,0.7257793307304382,0.3021152645349502,0.1352918811142444,0.153567636013031,0.7664096355438232,0.9968234777450562,0.0304027110338211,0.098439859598875,0.2326970726251602,0.051337207481265,0.0123901358805596,0.1699244186282157,0.0425363257527351,0.8433775901794434,0.3541295349597931,0.538097208738327,0.0711913235485553,0.0684441614896059,0.2129557371139526,0.2143726259469986,0.4819085121154785,0.698408591747284,-4.819594155067643,55.91996459330996,24.409977135553863,-5.991758831062008,-10.6801657977528,2.429848816323444,2.069189351407169,81.77922905297518,-3.6826380835888566,-7.457790101090525,50.36835982939124,49.05001938735944,31.17487398216363,36.68088406359054,63.80379992245056,97.16944552151996,54.80806514152772,32.60953858084529,48.46839860411012,80.4187669639395,28.38309422256689,63.86196200077549,88.67778208607987,93.09810003877472,85.57580457541683,79.25552539744086,51.26017836370686,76.69639395114385,72.58627374951531,46.02559131446297,60.83753392787902,68.98022489336952,53.39278790228771,76.5412950756107,86.19620007754943,83.94726638231873,61.41915471112834,40.82977898410236,74.56378441256301,81.81465684373788,58.86002326483133,68.90267545560295,85.9635517642497,84.49011244668476,79.64327258627375,73.63319115936409,86.46762310973246,55.95191934858472,72.12097712291586,59.90694067468011,67.23536254362156,56.96006203955021,26.09538580845289,39.62776269872043,43.46645986816596,61.45792943001163,58.86002326483133,37.84412563008918,3.489724699495929,[]
O=C1NC2=CC=CC=C2C1=O,147.13299999999995,0.8213999999999999,2,1,4.0,0.5520289490055337,0,46.17,0.6769159197807312,0.9750317931175232,0.956497311592102,0.9603185534477234,0.0651051469147205,0.2125944480299949,0.0538762249052524,0.1354007072746753,0.148747181892395,0.4491324186325073,0.0963357374072075,0.081940209120512,0.039698077738285,0.9828185200691224,0.9999852180480956,0.0244968280196189,0.0282669141888618,0.8726467490196228,0.0100354177877306,0.0017619204008951,0.0443360816687345,0.0079963173950091,0.95374698638916,0.0258896052837371,0.526975828409195,0.0383252531290054,0.0321473069489002,0.6011538505554199,0.2316276609897613,0.8970388770103455,0.0849602967500686,-4.042103337959334,57.518340125153806,38.23945358494056,-3.255510985615549,-11.10918202174462,2.2992245643990654,1.5573510948044422,63.115991186428005,-2.580613491442169,-8.752391019710437,8.956960062039549,30.864676231097324,16.38231872818922,36.68088406359054,63.80379992245056,54.78867778208608,22.48933695230709,27.21985265606824,91.46956184567662,83.67584335013571,91.74098487785965,97.47964327258627,42.303218301667314,64.4823575029081,54.827452500969365,56.76618844513377,68.94145017448623,46.9174098487786,54.90500193873594,31.834044203179527,31.562621170996508,97.98371461806902,95.69600620395502,71.57813105854983,56.61108956960062,98.79798371461808,38.07677394338891,9.228383094222568,22.56688639007367,57.46413338503296,81.15548662272198,34.43195036835983,85.26560682435053,77.04536642109345,67.0802636680884,89.10430399379604,87.43699108181465,93.02055060100814,27.723924001550987,98.10003877471888,68.86390073671966,69.3679720822024,30.593253198914308,35.09112058937573,35.67274137262505,51.57037611477317,34.74214811942613,59.2865451725475,1.9387359441644048,[]
[H]N1C(=O)\C(C2=C1C=CC(=C2)S(O)(=O)=O)=C1/N([H])C2=CC=CC=C2C1=O,342.33200000000005,1.9049,5,3,4.0,0.5388973544891925,0,112.57,0.5490612864494324,0.5434620320796967,0.8192778944969177,0.2764301061630249,0.0417919337749481,0.2119886331260204,0.0590211931616067,0.043329650722444,0.0471852069720625,0.2216872930526733,0.01181102078408,0.7107444167137146,0.2756135955452919,0.9819355607032776,0.9548323512077332,0.0448211001232266,0.026441397331655,0.3312541924417019,0.0138999855145812,0.0045446891803294,0.0506263941526412,0.0029267583042383,0.5074676156044007,0.0957707181572914,0.2603589609265327,0.0126973426900804,0.0224782711826264,0.4258249640464783,0.1523401573300361,0.5335980832576752,0.1222904548048973,-4.834157802731932,23.590886659409087,11.979321009353836,245.53483930399585,-12.10986857490067,2.2617863653099826,1.4295665432638331,92.0853872552232,-4.540681681982322,-1.4466829998305657,52.19077161690578,44.241954245831714,59.1120589375727,77.25862737495153,63.80379992245056,52.53974408685537,22.48933695230709,74.17603722373012,85.69212873206669,33.2299340829779,53.97440868553703,74.79643272586273,35.129895308259016,64.4823575029081,56.3396665374176,30.593253198914308,49.43776657619232,25.823962776269877,34.044203179526946,96.00620395502132,74.40868553702985,97.82861574253586,30.981000387747187,82.97789841023652,53.62543621558744,88.25126017836371,41.91547111283443,20.78324932144242,27.18107793718496,41.21752617293525,34.509499806126406,50.756107018224114,67.19658782473827,59.82939123691353,59.40286932919736,82.78402481582009,81.11671190383869,61.186506397828616,32.95851105079488,58.86002326483133,36.37068631252424,42.53586661496704,99.61225281116712,26.987204342768518,33.57890655292749,49.36021713842575,77.31678945327646,21.55874369910818,25.35866614967041,[]
COC1=CC(OC)=C(\C=C2\C(=O)NC3=CC=CC=C23)C(OC)=C1,311.33700000000005,3.2051000000000016,4,1,4.0,0.8810126211958613,0,56.790000000000006,0.8067535281181335,0.9381673455238342,0.9424391150474548,0.977927851676941,0.7381250858306885,0.378919118642807,0.3750749349594116,0.4601885080337524,0.1371091544628143,0.7790021538734436,0.8849377751350402,0.1227225318551063,0.0517504151910543,0.9740788340568542,0.9999315619468688,0.0164478183723986,0.0518820915371179,0.9288751482963562,0.383054618537426,0.0274333450943231,0.1952162533998489,0.0370329983532428,0.98819580078125,0.4539263010025024,0.7224836230278016,0.4520595788955688,0.1054605573415756,0.7306763887405395,0.4689052760601043,0.5573166668415069,0.8662745237350464,-4.438114605108923,81.748369397164,47.30905083170385,19.761107079648905,-9.763450401446883,2.4083309567448987,3.2127245329799257,90.69797317444588,-5.596052077262724,-7.391977529126443,44.04808065141528,64.90887941062427,46.47150058162078,36.68088406359054,63.80379992245056,97.90616518030244,22.48933695230709,35.129895308259016,94.8041876696394,73.82706475378053,87.24311748739821,98.48778596355176,92.47770453664212,85.88600232648314,86.00232648313299,83.67584335013571,67.66188445133773,84.91663435440093,94.4552151996898,43.46645986816596,37.14618069018999,95.85110507948818,87.32066692516479,61.26405583559519,74.2535866614967,99.3020550601008,94.14501744862348,62.42729740209384,79.37184955409073,79.99224505622334,96.31640170608765,73.36176812718108,93.67972082202404,98.33268708801862,85.45948041876696,93.05932531989144,95.1143854207057,62.93136874757658,83.32687088018612,84.25746413338503,83.32687088018612,75.68825126017836,66.92516479255525,48.93369523070957,42.303218301667314,85.07173322993408,74.6025591314463,7.871267933307483,3.5284994183792167,[]
COC1=CC=C2NC(=O)\C(=C/C3=CN=CN3)C2=C1,241.25000000000003,1.911,3,2,4.0,0.7890978640626071,0,67.00999999999999,0.8262765169143677,0.7697298407554627,0.8668672800064087,0.9848886013031006,0.4081824466586113,0.1918052479624748,0.233419345319271,0.1907612264156341,0.3328627258539199,0.3950335144996643,0.8519412040710449,0.0192109626717865,0.0278016548603773,0.9718954205513,0.9999886512756349,0.0062159946479368,0.0105961374007165,0.972651994228363,0.2811611428856849,0.0202632357832044,0.2060148209333419,0.0124427759088575,0.8949553370475769,0.126407591253519,0.4269653707742691,0.3906053960323333,0.1421634465456009,0.5698035001754761,0.3207657128572464,0.6383088529109955,0.6557886242866516,-4.526119027229179,33.69881667517747,20.66753743694776,-24.910936156326848,-15.492130546902718,2.4171837056285947,2.550098280279408,92.21172088870162,-4.592434116210253,-7.578286409331855,24.89336952307096,44.31950368359829,31.17487398216363,60.85692128732067,63.80379992245056,87.35944164404808,22.48933695230709,44.55215199689802,95.23070957735555,52.966265994571536,63.97828615742536,98.83675843350136,79.25552539744086,60.2559131446297,78.36370686312524,64.8313299728577,80.18611865063978,41.48894920511826,92.8266770065917,8.33656455990694,24.544397053121365,94.95928654517256,96.47150058162076,36.7972082202404,26.405583559519197,99.72857696781698,89.95734780922838,53.7417603722373,80.72896471500582,64.09461031407523,66.18844513377277,54.24583171772005,79.52694842962389,97.86739046141916,88.79410624272974,87.9410624272974,91.1981388134936,70.0271423032183,70.29856533540132,78.79022877084141,47.576580069794495,53.58666149670415,5.5060100814269095,8.1426909654905,42.88483908491664,71.3454827452501,77.5106630476929,20.589375727025978,3.4121752617293524,[]
O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=CC(Br)=CC=C12,356.17900000000003,3.416300000000001,4,3,4.0,0.3847762393953658,0,73.72,0.525509712100029,0.8508136034011841,0.7774301588535308,0.9803696155548096,0.7346197903156281,0.2308503925800323,0.7557080268859864,0.1302027940750122,0.2275311380624771,0.6279823184013367,0.7617837429046631,0.3254250615835189,0.0483174009248614,0.9632623076438904,0.9998473644256592,0.0429122460074722,0.0226883394643664,0.8911097645759583,0.2389687657356262,0.0299577178433537,0.230469186604023,0.1520082920789718,0.9183594703674316,0.5763110816478729,0.849239957332611,0.1465278804302215,0.4681833386421203,0.949936592578888,0.5615158915519715,0.9196104764938354,0.758300244808197,-4.686324570743307,34.218904327884374,30.40037295501713,117.35115800701008,-9.793521641001885,2.9145787937545244,3.579462511971409,100.5724825649138,-6.513186971923318,-6.4978143552770975,54.90500193873594,68.24350523458705,46.47150058162078,77.25862737495153,63.80379992245056,31.95036835982939,22.48933695230709,48.62349747964327,84.41256300891818,61.53547886777821,47.2276075998449,98.64288483908491,92.43892981775882,67.89453276463746,95.7735556417216,55.71927103528499,75.33927879022878,63.93951143854207,89.53082590151222,75.06785575804575,35.284994183792165,92.63280341217526,82.90034897246994,82.62892594028693,48.778596355176425,98.91430787126794,87.86351298953082,64.71500581620784,83.44319503683599,93.75727025979062,70.95773555641722,78.94532764637457,97.28576967816984,91.5471112834432,96.82047305157036,98.83675843350136,97.13067080263669,94.7654129507561,75.72702597906165,68.08840635905389,48.08065141527724,62.19464908879411,96.85924777045366,48.58472276075998,74.56378441256301,90.77161690577744,91.8185343156262,2.520356727413726,4.963164017060876,[]
