CC1=CC=C(C=C1)C=NC2=CC=C(C=C2)F
C1=CC=C(C=C1)/C=C/C2=CC=CC=C2
C1=CC=C(C=C1)COC2=CC=CC=C2
C1=CC=C(C=C1)CCOC2=CC=CC=C2
C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)Cl
C1=CC=C(C=C1)C2=NC3=CC=CC=C3O2
C1=CC=C(C=C1)CCC2=CC=CC=C2
C1=CC=C(C=C1)C#CC2=CC=CC=C2
C1=CC=C(C=C1)SSC2=CC=CC=C2
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)Cl
CC1=CC=CC=C1OC(=O)C2=CC=CC=C2
C1CCC(CC1)C(=O)OC2CCCCC2
C1=CC=C(C=C1)CSC2=CC=CC=C2
C1=CC=C(C=C1)C=NC2=CC=CC=C2
C1CCC(CC1)OC(=O)C2=CC=CC=C2
C1C2=CC=CC=C2C=C1C3=CC=CC=C3
CN(CC1=CC=CC=C1)C2=CC=CC=C2
CC1=NC2=C(O1)C=CC(=C2)C3=CC=CC=C3
C1=CC=C(C=C1)CC(=O)C2=CC=C(C=C2)Cl
C1CCC(CC1)COC(=O)C2CCCCC2
C1=CSC(=C1)SSC2=CC=CS2
C1=CC=C(C=C1)C#CC2=CC=C(C=C2)C=O
C1=CC=C(C(=C1)CCC2=CC=CC=C2F)F
C1=CC=C(C=C1)C2=CC3=CC=CC=C3N=N2
C1=CC=C(C=C1)CN=CC2=CC=CC=C2
CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2
C1=CC=C(C=C1)COC2=CC(=CC(=C2)F)F
C1=CC=C(C=C1)COC2=NC=C(C=C2)Br
C1=CC(=CC=C1CC(=O)C2=CC=C(C=C2)F)F
C1=CC=C(C=C1)COC2=CC=C(C=C2)F
C1=CC=C(C=C1)COC2=C(C=CC=C2Cl)Cl
C1C(C1C2=CC=CC=C2)C3=CC=CC=C3
C1=CC=C(C=C1)C(=O)CC2=CC=C(C=C2)Cl
C1=CC=C(C=C1)COC2=NC=CC(=C2)I
C1=CC(=CC(=C1)F)C(=O)CC2=CC=C(C=C2)Cl
C1=CC(=CC(=C1)SSC2=CC=CC(=C2)F)F
C1=CC=C(C=C1)COC2=CC=C(C=C2)CCl
CC1=C(C=CC(=N1)OCC2=CC=CC=C2)Br
C1=CC(=CC(=C1)F)CC(=O)C2=CC(=CC=C2)F
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)Br
C1=CC=C(C=C1)COC2=CC=C(C=C2)Cl
C1=CC=C(C=C1)COC2=NC(=CC=C2)Br
C1=CC=C(C=C1)C(=O)CC2=CC(=C(C=C2)F)F
C1=CC=C(C(=C1)F)SSC2=CC=CC=C2F
C1=CC=C(C=C1)COC2=C(C=CC=C2Cl)F
C1=CC=C(C=C1)OCC2=CC(=CC=C2)F
CC1=CC(=CN=C1OCC2=CC=CC=C2)Br
C1=CC=C(C=C1)C(=S)NC2=CC=CC=C2
COC1=CC=C(C=C1)/C=C/C2=CC=CC=C2
CC1=CC=C(C=C1)C2=NC3=CC=CC=C3O2
C1=CC(=CC=C1CCC2=CC=C(C=C2)F)F
C#CC1=CC=C(C=C1)C#CC2=CC=CC=C2
C1=CC(=CC=C1CC(=O)C2=CC=C(C=C2)F)Cl
C1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)Cl
C1=CC=C(C=C1)COC2=CC(=CC=C2)F
CC1=CC=C(C=C1)CCC2=CC=C(C=C2)C
CCN(CC1=CC=CC=C1)C2=CC=CC(=C2)C
C1=CC=C(C=C1)N=CC2=CC=C(C=C2)F
C1=CC=C(C=C1)COC2=CC=CC=C2CCl
CC1=CC=CC=C1OCC2=CC=CC=C2
COC1=CC=C(C=C1)C#CC2=CC=CC=C2
[C-]#[N+]C1=CC=C(C=C1)OCC2=CC=CC=C2
C1=CC=C(C=C1)OCC2=CC=C(C=C2)F
CC1=CC=C(C=C1)C(=O)CC2=CC=C(C=C2)Cl
C1CC(C1C2=CC=CC=C2)C3=CC=CC=C3
C1=CC(=CC=C1C#CC2=CC=C(C=C2)F)F
C1=CC=C(C=C1)CSC2=CC=C(C=C2)C=O
CC1=CC=CC=C1OC(=O)OC2=CC=CC=C2C
C1=CC=C(C=C1)C2=CC3=C(C=C2)OC=N3
CC1=CC=C(C=C1)C#CC2=CC=CC=C2C=O
C1=CC=C(C=C1)COC2=CC=CC=C2F
C1=CC=C(C=C1)C#CC2=C(C=CC(=C2)F)C=O
C1=CC(=CC=C1COC2=CC=C(C=C2)Cl)F
CC1=CC=CC=C1/C=C/C2=CC=CC=C2
C1=CC(=CC(=C1)F)N=CC2=CC(=C(C(=C2)F)F)F
C1=CC=C2C(=C1)N=C(O2)C3=CC=C(C=C3)Cl
C1=CC=C(C=C1)C#CC2=CSC(=C2)C=O
CC1=CC2=C(C=C1)OC(=N2)C3=CC=CC=C3
C1=CC=C(C=C1)C2=CC3=CC=CC=C3S2
CC1=CC(=C(C=C1)Cl)OCC2=CC=CC=C2
C1=CC=C(C=C1)CC(=O)C2=CC(=CC=C2)Br
C1=CC(=CC=C1C(=O)OC2=CC=C(C=C2)F)F
C1=CC=C(C=C1)C#CC2=C(C=C(C=C2)F)C=O
C1=CC=C(C=C1)COC2=CC(=CC=C2)Cl
C1=CC=C(C=C1)CSC2=CC=C(C=C2)Br
C1=CC(=CC=C1CSC2=CC=C(C=C2)F)Cl
C1=CC=C(C=C1)C(=NC2=CC=CC=C2)Cl
C1=CC=C(C=C1)COC2=C(C=C(C=C2)Cl)Cl
C1=CC=C(C=C1)C#CC2=CC(=CC=C2)Cl
C1=CC=C(C=C1)SCC2=CC=C(C=C2)F
COC1=CC=CC=C1C#CC2=CC=CC=C2
C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)C=O
C1=CC(=CC=C1C=NC2=CC=C(C=C2)F)F
CC1=CC=C(C=C1)N=CC2=CC=CC=C2
C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2Cl
C1=CC(=CC=C1F)SSC2=CC=C(C=C2)F
C1=CC=C(C=C1)C(=O)OC2=C(C(=C(C(=C2F)F)F)F)F
COC1=CC(=C(C=C1)OC)/C=C/C2=CC=CC=C2
COC1=CC=CC(=C1)/C=C/C2=CC(=CC=C2)Cl
C1=CC=C(C=C1)COC2=C(C=CC=C2F)F
CC(CC1=CC=CC=C1)C2=CC=CC=C2
COC1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)OC
C1=CC=C(C=C1)C#CC2=CC=C(C=C2)C#N
C1=CC=C2C(=C1)C=C(S2)C3=CC=CC=C3F
C1CSC(SC1)CC2SCCCS2
CC1=CC(=CC=C1)C(=O)NC2=CC=CC=C2Cl
C1=CC(=CC=C1SCC2=C(C=CC(=C2)F)F)Cl
C1=CC=C(C(=C1)C(=O)CC2=C(C=C(C=C2)F)F)F
C1=CC=C(C=C1)C(=O)SC(=O)C2=CC=CC=C2
C1=CC=C(C=C1)COC2=CC(=CC=C2)S
C1CCC(CC1)N=CC2=CC=CC=C2
CC1=CC=C(C=C1)OCC2=CC=CC=C2
CC1=CC=C(C=C1)C(=O)OC2=CC=CC=C2
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2Cl
C1=CC=C(C=C1)CSC2=CC=CC=C2C=O
C1=CC(=CC(=C1)F)CC(=O)C2=CC=C(C=C2)Cl
C1CCC(C1)SCC2=CC=CC=C2Br
C1=CC=C(C=C1)CC(=O)C2=CC(=CC=C2)Cl
C1C(CC2=CC=CC=C21)C3=CC=CC=C3
CC1=CC=C(C=C1)CC(=O)C2=CC=C(C=C2)Cl
CC1=CC=CC=C1OCC2=CC=CC=C2CCl
C1=CSC(=C1)C#CC2=CC=CS2
C1=CC=C(C=C1)CSC2=CC=CC=C2C#N
[2H]C1(SCCCS1)CC2(SCCCS2)[2H]
C1CC1C2=CC=C(C=C2)OCC3=CC=CC=C3
