C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3
C1=CC=C(C=C1)COC2=CC3=CC=CC=C3C=C2
C1CC2=CC=CC=C2OC1C3=CC=CC=C3
C1C(COC2=CC=CC=C21)C3=CC=CC=C3
C1C(OC2=C(C1=O)C=C(C=C2)Cl)C3=CC=CC=C3
C1CN(C2=C1C=C(C=C2)OCC3=CC=CC=C3)N=O
C1=CC=C(C(=C1)C(CO)C2=CC=CC=C2Cl)Cl
C1C2=C(C(=CC(=C2)Cl)CCl)OC(O1)C3=CC=CC=C3
C1C(OC2=CC=CC=C2C1=O)C3=CC(=CC=C3)Cl
C1C(OC2=CC=CC=C2C1=O)C3=CC=C(C=C3)Cl
C1[C@@H](COC2=CC=CC=C21)C3=CC=CC=C3
C1=CC(=CC(=C1)Cl)C(C(=O)C2=CC(=CC=C2)Cl)O
CN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)F
C1CC2=CC=CC=C2O[C@H]1C3=CC=CC=C3
C1CC2=C(C=CC(=C2)OCC3=CC=CC=C3)C=C1Br
C1=CC=C(C=C1)CCC(C2=CC=C(C=C2)Cl)O
C1=CC=C2C(=C1)C=CC=C2C(C3=CC=CC=C3Cl)O
C1CCCN(CC1)SC2=NC3=CC=CC=C3S2
C1=CC=C2C(=C1)C=CC=C2C(C3=CC=CS3)O
C1C(OC2=C(C1=O)C=C(C=C2Cl)Cl)C3=CC=CC=C3
CC1=CC2=C(C=C1)OC(CC2)C3=CC=CC=C3
C1=CC=C(C=C1)C2(C(C(=O)C3=CC=CC=C3O2)Cl)Cl
CC1CCN(CC1)SSC2=NC3=CC=CC=C3S2
C1=CC=C(C=C1)OCC2=NC3=CC=CC=C3S2
CC1=CC=C(C=C1)C2CCC3=CC=CC=C3O2
CC1(CC(=O)C2=CC=CC=C2O1)C3=CC=CC=C3
CC1=CC=C(C=C1)C2C=C(C3=CC=CC=C3O2)Cl
CN1C(=O)CC(C2=CC=CC=C21)SC3=CC=CC=C3
C1CC2=C(N=CC(=C2)Cl)OC1C3=CC=C(C=C3)Cl
C1CC2=C(N=CC=C2)OC1C3=CC(=C(C=C3)Cl)Cl
C1C(OC2=C(C1=O)C=CC(=C2)Cl)C3=CC=CC=C3
C1C2C(N2S(=O)(=O)C3=CC=CC=C3)C4=CC=CC=C41
C1C(OC2=C(C1=O)C=CC=C2Cl)C3=CC=CC=C3
CC1=CC2=C(C=C1)C(=O)CC(O2)C3=CC=CC=C3
C1=CC=C(C=C1)C2C(C(=O)C3=CC=CC=C3O2)Cl
CC1=CC2=C(C=C1)OC(CC2=O)C3=CC=CC=C3Cl
CC1=CC=C(C=C1)C2CC(=O)C3=C(O2)C=CC(=C3)Cl
C1C(OC2=CC=CC=C2C1=O)C3=CC=C(C=C3)F
C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3Cl
C1=CC=C(C=C1)OC(C2=NC3=CC=CC=C3S2)(F)F
C1C(OC2=C(C1=O)C=C(C=C2)Cl)C3=CC=C(C=C3)Cl
C1=CC(=CC(=C1)Cl)CCC(C2=CC=CS2)O
C1=CC=C2C(=C1)C=C(O2)C(=O)OC3=CC=C(C=C3)Cl
C1CN2C(=N1)C3=CC=CC=C3CC2(C4=CC(=C(C=C4)Cl)Cl)O
C1CN2C(=N1)C3=CC=CC=C3CC2(C4=C(C=C(C=C4)Cl)Cl)O
C1=CC=C2C(=C1)C=C(O2)SCC3=CC=CS3
CC1=CC=CC=C1C2CC(=O)C3=CC=CC=C3O2
C1CC2=C(C=CC(=C2)C=O)OC1C3=CC=CC=C3
C1=CC=C2C(=C1)C=C(O2)CSC3=CC=CS3
CCOC1(C(=CC2=CC=CC=C2O1)OC)C3=CC=CC=C3
CN(C1CCCCC1)S(=O)(=O)C2=CC(=C(C=C2)F)F
C1=CC=C(C=C1)OC(=O)C2=CC3=CC=CC=C3O2
CC1=CC=C(C=C1)C2CC(=O)C3=CC=CC=C3O2
C1=CC=C2C(=C1)N=C(S2)COC3=CC=C(C=C3)Br
C1=CC=C(C=C1)OCC2=NC3=CC=CC=C3C=C2
CC1=CCCC2=C1C=CC(=C2)OCC3=CC=CC=C3
C1C2=CC=CC=C2OP(=S)(O1)C3=CC=CC=C3
C1CCC2CC3(C(O3)CC2C1)C4=CC=CC=C4
C[C@H]1[C@@H](OC2=CC=CC=C2C1=O)C3=CC=CC=C3
C1C(OC2=CSC=C2O1)C3=CC=CC=C3
C1CC2=C(C=CC(=C2)Cl)OC1C3=CC=C(C=C3)C#N
C1=CC(=CC(=C1)Cl)COC2=CC3=C(C=C2)SC(=O)O3
C1C(COC2=C1C=C(C=C2)Cl)C3=CC=CC=C3
CC1=CC=C(C=C1)OC(=O)C2=CC3=CC=CC=C3O2
CC1=CC2=C(C=C1)C(=O)C[C@@H](O2)C3=CC=CC=C3
CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC(=C(C=C3)F)F)C
C1=CC=C(C=C1)COC2=CC3=C(C=C2)SC(=O)O3
CC1=CC2=C(C=C(C=C2)OCC3=CC=CC=C3)OC1=O
CC1=CC2=C(C=C(C=C2)OCC3=CC(=CC=C3)Cl)OC1=O
CC1=CC2=C(C=C1)C(=O)CC(O2)C3=CC=C(C=C3)F
C1[C@@H](OC2=C(C1=O)C=CC(=C2)F)C3=CC=C(C=C3)F
CC1=CC=C(C=C1)[C@H]2CC(=O)C3=C(O2)C=C(C=C3)F
CC1=CC=C(C=C1)[C@H]2CC(=O)C3=C(O2)C=C(C=C3)C
CC1=CC(=O)OC2=CC(=C(C=C12)Cl)OCC3=CC=C(C=C3)F
CC1(CC2=CC=CC=C2O1)C3CCCCC3
CCOC(C1=CC=CC=C1)OC2=CC=CC=C2
C1=CC(=CC(=C1)Cl)COC2=CC3=C(C=C2)C=CC(=O)O3
C1C(OC2=CC=CC=C21)CC3=CC=CC=C3
CC1=CC(=O)N2C(=N1)SC(=N2)COC3=CC(=C(C=C3)Cl)C
C1=CC2=NC(=CC(=O)N2C=C1)OCC3=CC(=CC=C3)Cl
CC1=C(OC2=CC=CC=C12)C(=O)OC3=CC=CC=C3F
CC1=C(C(=CC=C1)OCC2=NC3=CC=CC=C3S2)C
C1CCC(CC1)C2CC(=O)C3=CC=CC=C3O2
CC(=C)CC(CO)(C1=CC=CC=C1)C2=CC=CC=C2
C1C(OC2=CC=CC=C2C1=O)C3=CC=C(C=C3)C(F)F
CC1=CC(=CC=C1)COC2=CC3=C(C=C2)C=CC(=O)O3
C1=CC(=CC(=C1)OCC2=NC3=C(C=CC(=C3)Cl)C=C2)C=O
C1=CC=C(C=C1)C(=O)SC2=NC3=CC=CC=C3S2
C1=CC=C2C(=C1)C(OC2=O)C(C3=C(C(=CC=C3)Cl)Cl)O
[2H]C1(C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3)[2H]
C1C2C(C2(Cl)Cl)(OC3=CC=CC=C31)C4=CC=CC=C4
CC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)C
CCOC(C1=CC=CC=C1)OC2=CC(=CC=C2)Cl
C1CCC(CC1)C2OC3=CC=CC=C3S2
CC(C1=CC=CC=C1)N(S(=O)(=O)C2=CC=CC=C2)Cl
COC1(CCC2=CC=CC=C2O1)C3=CC=CC=C3
CC1(CCC2=CC=CC=C2O1)C3=CC=CC=C3
