COc1c2C(O)CC(OC)(Oc2cc3occc13)c4ccccc4
COc1cc2O[C@@](CCc2c(OC)c1OC)(OC)c3ccccc3
COc1cc2occc2c3OC(CC(O)c13)(OC)c4ccccc4
