COC1=CC2=C(C=C1)C=C(C=C2)Br
COC1=CC2=CC=CC=C2C=C1
CCOC1=CC2=CC=CC=C2C=C1
C1=C(C=C(C2=C1C(=O)C(=O)N2)Cl)Cl
C1=C(C=C(C2=C1NC(=O)C2=O)Cl)Cl
CCN1C2=CC(=C(C=C2NC1=O)Cl)Cl
CC1=CC2=C(N1)C=C(C=C2Cl)Cl
C1=C2C(=CC(=C1Br)Br)NC(=O)C2=O
C1=CC=C2C=C(C=CC2=C1)OC(F)F
COC1=CC2=C(C=C1)C=CC(=C2)Br
CC1=CC2=C(C=CC(=C2C1)C)C
C1CC[C@H]2CCC[C@H]2C1
C1=C2C(=CC(=C1Cl)Br)NC(=O)C2=O
C1=CC=C2C(=C1)C(=C(N2)Cl)Cl
C1=C2C(=CC(=C1Cl)Cl)NC(=O)C2=O
C1=C2C(=CC(=C1Cl)Cl)NC(=S)N2
COC1=CC2=C(C=C1)C=C(C=C2)Cl
CC1=CC2=C(N1)C=CC(=C2Cl)Cl
COC1=C(C2=CC=CC=C2C=C1)Cl
COC1=CC2=C(C=CC=C2I)C=C1
CC1=CC2=CC=CC=C2C=C1OC
C1=CC(=C(C2=C1C(=O)C(=O)N2)Cl)Cl
C1=CC2=C(C=C1I)C(=CC(=O)N2)O
CC1=CC2=C(C=C1)C=CC(=C2)OC
C1=C2C(=CC(=C1Cl)Cl)NC(=O)N2
COC1=CC2=C(C=C1)C=C(C=C2)I
COC1=CC2=C(N=C(C=C2C=C1)Cl)Cl
C1=C(C=C(C2=C1SC(=O)N2)Cl)Cl
C1=C(C=C(C2=C1NC(=O)C2=O)Br)Br
C1=CC(=C2C(=C1Cl)C=CS2)Cl
C1=C(C=C(C2=C1NC(=C2)C(=O)Cl)Cl)Cl
COC1=C(C2=CC=CC=C2C=C1)CCl
CC1=CC2=CC(=CC(=C2N1)Cl)Cl
C1=C(C=C(C2=C1C(=O)OC(=O)N2)Cl)Cl
C1=C(C=C(C2=C1C(=O)C(=O)N2)Br)Br
COC1=C(C2=C(C=C1)C=C(C=C2)Br)Cl
COC1=CC2=C(C=CC=C2Br)C=C1
COC1=CC2=C(C=C1)C=C(C=C2)F
C1=C2C(=CC(=C1Cl)Cl)N=CC(=O)N2
CC1=CC(=C2C(=C1)C(=C(N2)C)C)C
C1CC2C3CCC(C3)C2C1
C1=C(C=C(C2=C1C(=O)C(=O)N2)Br)Cl
C1=C2C(=C(C(=C1Cl)Cl)Cl)NC(=O)O2
CCOC1=C(C2=CC=CC=C2C=C1)C
C1=CC2=C(C=CC3=C2C(=C1)C(=O)N3)Cl
C1=C(C=C(C2=C1C(=O)C(=O)N2)Cl)Br
COC1=CC2=C(C=C1)C=CC(=C2)Cl
CC1=CC2=C(C=C1)C=C(C=C2)OC
C1CC2CC1C3C2C=CC3
C1=CC=C2C(=C1)SC(=S)S2
C1CSC2=C(S1)SC(=S)S2
C1=CC(=C2C(=C1Cl)NC(=O)S2)Cl
C1CCC2CCCC2C1
C1=CC(=O)OC2=C(C=C(C=C21)Cl)Cl
COC1=CC2=C(C=CC=C2Cl)C=C1
C1=C(C=C(C2=C1NC(=O)C(=C2)O)Cl)Cl
C1=CC2=C(C=C1Cl)C=C(N2)C#N
COC1=CC2=C(C=C1)C=CC(=C2)F
COC1=CC2=CC=CC=C2C(=C1)Cl
COC1=CC2=C(C=C1)C(=CC=C2)Cl
C1=CC2=C(SC(=C2C=C1)Cl)Cl
C1SC2=C(S1)SC(=S)S2
CC1=C(C=CC2=C1C=CC(=C2)Br)OC
C1=C2C(=CC(=C1Cl)Cl)N=C(N2)CCl
COC1=CC2=C(C=C1)C=C(CC2)Br
C1=C(C=C(C2=C1NC(=S)O2)Cl)Cl
CC1=C(C=CC2=CC=CC=C12)OC
COC1=CC2=C(C=C1)C=C(S2)Br
CC1=CC(=CC2=CC=CC=C12)OC
C1=CC2=C(C=C1Br)C=C(C(=O)N2)Br
C1=C(C=C(C2=C1NC(=C2)C#N)Cl)Cl
C1CC[C@H]2CCC[C@@H]2C1
C1=CC(=O)NC2=C1C(=CC(=C2)Cl)Cl
C1=C(SC2=C1SC(=C2)Cl)Cl
C1=CC(=O)NC2=C(C=C(C=C21)Br)Br
C1=C2C(=CC(=C1Cl)Cl)OC(=S)N2
C1=CSC2=C1SC(=S)S2
C1=CC2=C(C=C1Cl)C(C(=O)N2)(Br)Br
C1=C2C(=C(C(=C1Cl)Cl)Cl)C(=O)C(=O)N2
C1=C(C=C(C2=C1NC(=O)S2)Cl)Cl
C1=CC2=C(C=C1Cl)C=C(N2)Cl
C1=CC(=C(C2=C1NC(=O)C2=O)Cl)Br
C1CC(=O)OC2=C1C=C(C=C2Cl)Cl
C1=CC(=C2C(=C1Br)C(=O)C(=O)N2)Br
C1=C(C=C(C2=C1C(=O)NC(=O)N2)Cl)Cl
C1=CC(=C(C2=C1SC(=O)N2)Cl)Cl
CC1=C2C=CC(=CC2=CC=C1)OC
C1CC[C@@H]2CCC[C@H]2C1
C1=CC=C2C=C(C=CC2=C1)OCCl
C1=C(C2=C(C(=C1Cl)Cl)C(=O)C(=O)N2)Cl
C1=C(C=C(C2=C1C(=O)OC(=O)N2)Cl)Br
C1=CC(=C2C(=C1Br)NC(=O)S2)Br
C1=CC2=C(C=C1Cl)NC(=C2)Cl
C1=CC(=C(C2=C1NC(=O)N2)Cl)Cl
C1CC2C(C1)C3CC2C=C3
C1=CC(=O)NC2=C(C=C(C=C21)Cl)Cl
C1=CC(=O)NC2=C1C(=CC(=C2)Br)Cl
C1=C(C=C(C2=C1NC(=S)N2)Cl)Cl
C1=CC(=O)NC2=CC(=C(C=C21)Cl)Cl
C1=CC(=C(C2=C1C=CC(=O)N2)Cl)Br
C1=CC(=C2C(=C1C#N)NC(=O)C2=O)Br
CN1C2=CC(=C(C=C2NC1=S)Cl)Cl
C1CCC2C(C1)SC(=S)S2
C1C2=C(C=CC(=C2)Cl)C(=C1C=O)Cl
C1=CC2=C(C=C1Cl)C=C(N2)C(=O)Cl
CC1=CC2=C(C=C1C)C=C(C=C2)OC
C1=CC(=C(C2=C1NC(=N2)Cl)Cl)Cl
C1=CC(=O)NC2=C(C=C(C=C21)Br)I
C1=CC(=O)NC2=C1C(=CC(=C2)I)Cl
C1=C2C(=CS1)SC(=S)S2
C1CC2CC=CCC2C1
CC1=C(C=C(C2=C1C(=O)C(=O)N2)OC)Cl
C1=C(C2=C(C(=C1Cl)Cl)NC(=O)O2)Cl
C1C(=O)NC2=C(S1)C=C(C=C2Cl)Cl
CC1C(=CC2=C1C=CC(=C2)OC)C
CC1C(=CC2=C1C=C(C=C2)OC)C
C1=C(C=C(C2=C1NC(=N2)Cl)Cl)Cl
C1=C(C=C(C2=C1C(=CC(=O)N2)O)Cl)Cl
C1=CC(=C(C2=C1C=CC(=O)N2)Br)Cl
C1=C(C=C(C2=C1SC(=S)N2)Cl)Cl
C1=C(C=C(C2=C1NC(=O)N2)Br)Br
CCOC1=C(C2=CC=CC=C2C=C1)Cl
C1=CC(=C(C2=C1NC(=S)S2)Cl)Cl
C1=CC2=C(C=C1Cl)NC(=C2C=O)Cl
CC1=C(C2=C(C=C1)C=C(C=C2)OC)C
COC1=CC(=CC2=C1NC(=O)C2=O)Br
C1=C(C=C(C2=C1NC(=O)O2)I)I
CC1=C2C(=C(C=C1)Cl)NC(=O)C(=O)N2
C1=C(C=C(C2=C1NC(=O)NC2=O)Cl)Cl
C1=C(C=C(C2=C1C(=O)C(=O)N2)I)I
C1=C(C=C(C2=C1OC(=S)N2)Cl)Cl
CC1=C(SC2=C1C=CC(=C2)OC)Br
C1=CC(=C2C(=C1Br)NC(=O)N2)Br
C1=CC(=C(C2=C1NC(=O)C(=C2)O)Cl)Cl
C1=C(C2=C(C(=C1Cl)Cl)SS(=O)N2)Cl
C1=CC(=C(C2=C1C(=O)C(=O)N2)I)Cl
C1=CC(=C(C2=C1NC(=O)C2=O)I)Cl
C1C2=C(C=CC(=C2)Cl)C(C1(F)F)(F)F
C1=C2C(=C(C(=C1Cl)Cl)Cl)NC(=S)O2
C1=CC2=C(C=C1Cl)C=C(N2)C(=O)F
COC1=C(C2=CC=CC=C2C=C1)S
C1=CC2=C(C=C1Cl)OC(=S)O2
CC1=CC(=CC2=C1NC(=S)S2)Cl
C1=C(C=C(C2=C1NC(=O)C(=O)N2)Cl)Cl
CC1=CC2=C(C=C1)SC(=S)S2
COC1=CC2=C(CCC(=C2)Br)C=C1
C1=C(C=C(C2=C1NC(=S)N2)Br)Br
C=NC1=CC2=CC=CC=C2C=C1
C1=C(C=C(C2=C1NC(=O)C=C2O)Cl)Cl
CC(=O)C1=CC2=C(N1)C=C(C=C2Cl)Cl
C1=C(C=C(C2=C1NC(=O)N2)Cl)Cl
C1=CC(=C2C(=C1Cl)C=C(C(=O)N2)O)Cl
CC1=NC2=CC(=C(C=C2NC1=O)Cl)Cl
CC1=NNC2=C(S1)C=C(C=C2Cl)Cl
CC1=C(C=C2C(=C1Cl)OC(=O)N2)Cl
C1=C(C2=C(NC1=O)SC(=C2)Br)Cl
C12=C(SC(=O)S1)SC(=S)S2
COC1=CC2=C(C=CC(=C2)CCl)C=C1
C1=C(C2=C(C=NN2)C(=C1Cl)Cl)Cl
C1=CSC2=C(S1)SC(=S)S2
COC1=C(C2=C(C=C1)C=CS2)Cl
C1=C2C(=CC(=C1Cl)Cl)NC(=O)OC2=O
C=COC1=CC2=CC=CC=C2C=C1
CC1=CC2=C(C=CC(=C2)OC)C(=C1)Cl
C1=C(C=C(C2=C1NC(=O)C(=C2)Br)Cl)Cl
C1=CC=C2C(=C1)C=C(S2)N=C=S
C1CC2CCC3CC(C1)C2C3
C1=CC(=C(C2=C1C(C(=O)N2)N=O)Cl)Cl
C1CC2[C@@H]3CC[C@@H](C3)C2C1
C1=CC2=C(C=C1C(=O)Cl)SC(=O)N2
CCOC1=C(C2=CC=CC=C2C=C1)F
CC1=C2C=CSC2=C(C=C1)C
C1=CC=C2C(=C1)C=CC(=O)C2(Cl)Cl
C1=CC=C2C(=C1)C(=O)C(=O)N=N2
C1=CC=C2C(=C1)C(C(=O)N2)(I)I
CC1=C(C(=C2C(=C1C)C(=C(N2)C)C)C)C
CC1=C(C2=C(C1)C=C(C=C2)C)C
CC1=C2C=C(C=CC2=CC=C1)OC
C1=CC=C2C(=C1)C(=CC2(Cl)Cl)Cl
C1=CC=C2C(=C1)C(=C(N2)N=O)N=O
COC1=C(C2=C(C=C1)C=C(C=C2)Br)F
CN1C2=CC=CC=C2C(S1(=O)=O)(Cl)Cl
CC1=CC2=C(C=C1)C(C(C2)N=O)(C)Cl
CC1=CSC2=CC(=C(C=C12)OC)Cl
C=C1CSC2=C(S1)SC(=S)S2
C1=CC=C2C(=C(C(=S)S2)Cl)C=C1
CC1(CCC(C2=C1CC(=O)O2)(C)C)C
CC1=CC2=C(C=C1)SC(S2)OC
C1=CC2=C(C=CC(=O)C2(F)F)C=C1Br
C=C1C(=O)C=CC2=CC=CC=C12
C1=CC2=C(C=C1Cl)NC(=O)C=C2Cl
CC1=CC2=C(C=C1)C(=C(C=C2)OC)C
CC1=C(C2=C(C=C1)C(=C(C2)C=O)C)Cl
C1=CC(=C(C2=C1N=CC(=O)N2)Cl)Cl
C1=C2C(=CC(=C1Cl)Cl)S[S@@](=O)N2
CC=NC1=CC2=CC=CC=C2C=C1
C1=CC=C2C(=C1)C(=C(C(=O)N2)Cl)I
CCC1=C(C2=CC(=CC(=C2N1)C)C)C
