CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N3CC3
C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)CCl
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N(C)C
CC(=O)NC1=CC=C(C2=CC=CC=C21)[N+](=O)[O-]
CN(C)S(=O)(=O)C1=C2C=CC=C3C2=C(C=C1)NC3=O
CCCNS(=O)(=O)C1=CC=C(C2=CC=CC=C21)OC
C1=CC=C2C(=C1)C(=CC=C2[N+](=O)[O-])NC(=O)CCl
CCNS(=O)(=O)C1=CC=C(C2=CC=CC=C21)Br
CCNS(=O)(=O)C1=CC=C(C2=CC=CC=C21)OCC
CCN(CC)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)C
C1=CC=C2C(=C1)C(=CC(=C2N)Cl)[N+](=O)[O-]
CCN(CC)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)Cl
CC(C)NS(=O)(=O)C1=CC=C(C2=CC=CC=C21)OC
CCOC1=CC=C(C2=CC=CC=C21)S(=O)(=O)NC(C)C
CCN(CC)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)OCC
CCOC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N(C)C
CN(C)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)Cl
CCNS(=O)(=O)C1=CC(=C(C(=C1C)Cl)N)Cl
CCCNS(=O)(=O)C1=C2C=CC=C3C2=C(C=C1)NC3=O
C1=CC=C2C(=C1)C=CC=C2S(=O)CCl
C1CC1NS(=O)(=O)C2=CC=C3CCC4=C3C2=CC=C4
CCN(CC)S(=O)(=O)C1=C(C=C(C2=C1OC(=O)C=C2C)C)C
CN(C)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)OC
C1CCC(C1)S(=O)(=O)C2=C3C=CC=NC3=C(C(=C2)F)O
C1CCN(C1)S(=O)(=O)C2=CC(=C(C3=C2C=CC=N3)O)Cl
C1CCC(C1)S(=O)(=O)C2=CC(=C(C3=C2C=CC=N3)O)Cl
C1CCC(C1)S(=O)(=O)C2=C3C=CC=NC3=C(C=C2)O
CC1=CC(=C2C=CC=NC2=C1O)S(=O)(=O)N3CCCC3
CCNS(=O)(=O)C1=C(C(=C(C=C1)Cl)C)Cl
CCNS(=O)(=O)C1=C2C=CC=C3C2=C(C=C1)NC3=O
CNS(=O)(=O)C1=CC=C(C2=CC=CC=C21)Cl
C1CCN(C1)S(=O)(=O)C2=CC=C(C3=CC=CC=C32)Cl
CCN(CC)S(=O)(=O)C1=CC=CC2=CC=CC=C21
CCCCS(=O)(=O)C1=CC=C(C2=CC=CC=C21)Cl
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N=C=S
C=CS(=O)(=O)C1=CC=CC2=CC=CC=C21
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)C=C
CC(C)(C)S(=O)(=O)C1=CC=CC2=CC=CC=C21
CC(=O)NC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N(C)C
CC(C)NS(=O)(=O)C1=CC=C2CCC3=C2C1=CC=C3
CC(=O)C1=C2C(=C(C=C1)O)C=CC=C2C(=O)C
C1=CC2=C(C(=C1)S(=O)(=O)NCCCl)C(=CC=C2)Cl
C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)N=C=S
CS(=O)(=O)N1CCSC2=C1C=C(C=C2)Cl
CCOC(=O)C1=CN=C(C2=CC=CC=C21)NC3CC3
CCOC1=C2C(=C(C=C1)S(=O)(=O)NCC=C)C=CC=N2
C1C2=CC=CC=C2C3=CC=CC=C3N1S(=O)(=O)C(F)(F)F
CS(=O)(=O)N1CC=CC2=CC(=C(C=C21)Cl)Cl
C1CC1C(=O)OC2=CC=C(C3=CC=CC=C32)O
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N=O
CCN(CC)S(=O)(=O)C1=CC=CC2=C1C=C(C=C2)OC
C1C[C@@H]2[C@H](C1)N(C3=CC=CC=C23)S(=O)(=O)C(F)(F)F
CCNS(=O)(=O)C1=CC(=CC2=C1NCC2)Cl
CCS(=O)(=O)C1=C(C=CC2=CC=CC=C21)C
CCOC1=NN(C2=CC=CC=C21)S(=O)(=O)C(C)(C)C
CC1=C(C2=CC=CC=C2C(=C1)O)OC(=O)C(=C)C
COC1=C(C2=CC=CC=C2C=C1)S(=O)(=O)C[N+]#[C-]
C[C@]12C[C@H]1C3=CC=CC=C3N(C2)S(=O)(=O)C(F)(F)F
C1[C@H]([C@@H]1S(=O)(=O)C2=CC=CC3=CC=CC=C32)F
