SIMLES
C1=CC=C(C(=C1)F)S(=O)(=O)N
CNC(=O)OC1=CC=CC2=CC=CC=C21
C1=CC(=CC(=C1)S(=O)(=O)N)F
C1=CC=C2C(=C1)C(=CC=C2O)[N+](=O)[O-]
C1=CC(=C(C=C1F)F)S(=O)(=O)N
C1=CC(=C(C=C1S(=O)(=O)N)F)F
C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-]
C1=CC(=C(C=C1Br)F)S(=O)(=O)N
C1=CC(=CC(=C1)S(=O)(=O)N)C(F)(F)F
C1=CC=C2C(=C1)C(=CC=C2O)C=O
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N
CC1=C(C=CC(=C1)S(=O)(=O)N)N
C1=CC(=CC(=C1)Cl)S(=O)(=O)N
C1=CC=C2C(=C1)C(=CC=C2[N+](=O)[O-])N
C1=CC2=C(C(=C1)S(=O)(=O)N)N=CC=C2
CC1=CC=CC=C1S(=O)(=O)N
C1=C(C(=CC(=C1F)S(=O)(=O)N)F)F
C1=C(C=NC(=C1Cl)Cl)S(=O)(=O)N
C1=CC(=C(C=C1S(=O)(=O)N)F)Br
COC(=O)C1=CC(=CC=C1)S(=O)(=O)N
C1=CC(=C(C(=C1)Cl)F)S(=O)(=O)N
CC1=CC(=CC=C1)S(=O)(=O)N
C1=CC(=C(C=C1S(=O)(=O)N)Cl)Cl
CC1=C(C=CC(=C1)Br)S(=O)(=O)N
C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)N
C1=CC2=C(C=CC(=C2N=C1)O)C=O
C1=CC(=C(C(=C1)Cl)Cl)S(=O)(=O)N
C1=CC(=C(C=C1Cl)Cl)S(=O)(=O)N
CC(=O)C1=CC(=CC=C1)S(=O)(=O)N
CC1=C(C=C(C=C1)S(=O)(=O)N)Br
CC1=C(C=CC(=C1)S(=O)(=O)N)Br
C1=CC(=C(C=C1C(=O)Cl)S(=O)(=O)N)Cl
CC1=C(C=CC(=C1)F)S(=O)(=O)N
CC1=C(C=C(C=C1)S(=O)(=O)N)F
C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)O)O
C1=CC(=C(C=C1S(=O)(=O)N)Cl)N
CC1=CC(=C(C=C1Cl)C)S(=O)(=O)N
COC1=CC(=CC=C1)S(=O)(=O)N
C1=CC2=C(C(=C1)S(=O)(=O)N)NC=C2
C1=CC2=C(C=CC=N2)C(=C1)S(=O)(=O)N
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NN
CC1=C(C=C(C=C1)S(=O)(=O)N)Cl
C1=CC(=C(C=C1S(=O)(=O)N)Cl)F
CC1=C(C=C(C=C1)S(=O)(=O)NC)Br
CNS(=O)(=O)C1=CC(=C(C=C1)N)Cl
C1=C(C2=NON=C2C(=C1)S(=O)(=O)N)F
CC1=CC=C(C2=CC=CC=C12)S(=O)(=O)N
CC1=CC(=C(C=C1)S(=O)(=O)N)C
C1=CC(=C(C(=C1F)F)F)S(=O)(=O)N
CC1=C(C=CC=C1Cl)S(=O)(=O)N
C1=CC2=C(C=CC(=C2N=C1)[N+](=O)[O-])O
CC(=O)C1=C2C=CC=NC2=C(C=C1)O
C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)N
CC1=CC(=C(C=C1Cl)S(=O)(=O)N)OC
C1=C(C(=CC(=C1Cl)Cl)Cl)S(=O)(=O)N
CNS(=O)(=O)C1=CC=CC(=C1)C#N
C1=CC(=C(C=C1S(=O)(=O)N)C(F)(F)F)F
CC1=C(SC(=N1)NC)S(=O)(=O)N
C1=CC(=C(C=C1S(=O)(=O)N)C#N)F
C1=CC=C2C(=C1)C(=CC=C2O)C(=O)O
C1=CC(=C(C=C1S(=O)(=O)Cl)S(=O)(=O)N)Cl
C1=CC(=C2C=CN=CC2=C1S(=O)(=O)NCCN)Cl
C1=C(C(=CC(=C1S(=O)(=O)N)Cl)F)F
C1=CC2=NON=C2C(=C1)S(=O)(=O)N
C1=CC=C2C(=C1)C(=CN=C2N)[N+](=O)[O-]
C1=CC(=CC(=C1)S(=O)(=O)N)C=O
C1=CC=C2C(=C1)C(=CC(=C2O)N=O)S(=O)(=O)O
C1=CC2=NC=C(N2C=C1)S(=O)(=O)N
CN(C)S(=O)(=O)C1=CC=C(C2=NON=C12)NN
CCOC(=O)C(=O)C1=CC=C(C2=CC=CC=C21)F
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N3CC3
CC1=C(C=C(C=C1)S(=O)(=O)N)C
C1=CC(=CC(=C1)S(=O)(=O)Cl)S(=O)(=O)N
CC1=C(C2=CC=CC=C2C(=C1)[N+](=O)[O-])N
C1=CC(=C(C=C1S(=O)(=O)NN)Cl)Cl
COC(=O)C1=CC=C(C2=CC=CC=C21)N
C1=CC(=C(C=C1N)Cl)S(=O)(=O)N
C1=CC2=C(C=CC(=C2N=C1)O)C(=O)CCl
C1=CC(=C(C=C1S(=O)(=O)N)Cl)Br
CC1=CC2=C(C(=CC=C2)S(=O)(=O)N)N=C1
COC(=O)C1=CC=C(C2=CC=CC=C21)O
C1=CC(=C(C=C1C(F)(F)F)S(=O)(=O)N)Cl
C1=CC(=C(C=C1S(=O)(=O)N)Br)N
C1=CC2=NC(=C(N2C=C1)S(=O)(=O)N)Cl
C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCN
CNS(=O)(=O)C1=CC=CC(=C1)C(F)(F)F
C1=CC2=C(C(=C1)S(=O)(=O)N)NN=C2
CC1=C(C=CC(=C1)S(=O)(=O)N)F
C1=CC(=C(C=C1F)Cl)S(=O)(=O)N
C1=CC=C2C(=C1)C(=CC=C2Cl)S(=O)(=O)N
CN(C)S(=O)(=O)C1=CC=C(C2=NON=C12)N
COC(C1=CC=CC2=CC=CC=C21)OC
CC1=CC(=CN=C1Cl)S(=O)(=O)N
CS(=O)(=O)N1CCC2=CC=CC=C21
